epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.054,0.63342,1.31702,1.12648,0.98462,0.71,0.96214,0.80892,0.28782,6.78096,0.21336,0.000544553,0.000544553,0.000544553
2,212.094,0.41788,0.67088,0.99897,0.78106,0.855,0.91696,0.75085,0.48762,4.28886,0.50177,0.00104576,0.00104576,0.00104576
3,308.662,0.42209,0.69528,0.99743,0.7441,0.90898,0.94468,0.72797,0.63275,2.2014,0.42631,0.00149195,0.00149195,0.00149195
4,407.997,0.41695,0.59634,0.99623,0.73513,0.9675,0.97358,0.94814,0.44125,2.33723,0.23595,0.00141945,0.00141945,0.00141945
5,501.699,0.34954,0.53604,0.96993,0.97336,0.95371,0.98894,0.92512,0.51154,1.13958,0.2497,0.00133693,0.00133693,0.00133693
6,595.847,0.3202,0.55148,0.96593,0.95271,0.90343,0.95923,0.93203,0.61551,1.27664,0.33409,0.00125442,0.00125442,0.00125442
7,687.08,0.32675,0.48922,0.96697,0.96516,0.9275,0.97626,0.89366,0.60473,1.15705,0.29704,0.0011719,0.0011719,0.0011719
8,777.991,0.29194,0.43397,0.95169,0.98966,0.95707,0.99366,0.98343,0.49571,0.64636,0.22264,0.00108938,0.00108938,0.00108938
9,870.267,0.26521,0.4053,0.94316,0.9686,0.99348,0.99427,0.9873,0.48411,0.75535,0.22574,0.00100687,0.00100687,0.00100687
10,965.17,0.2605,0.41055,0.94649,0.97323,0.9475,0.98697,0.97602,0.53613,0.84065,0.24855,0.000924352,0.000924352,0.000924352
11,1058.49,0.18867,0.41916,0.93469,0.79589,0.90935,0.94065,0.93575,0.39551,1.19587,0.19592,0.000841835,0.000841835,0.000841835
12,1151.87,0.16409,0.2417,0.92552,0.97895,0.98884,0.99455,0.97201,0.50209,0.57863,0.22805,0.000759318,0.000759318,0.000759318
13,1244.92,0.14293,0.21693,0.91525,0.98759,0.99531,0.99485,0.98445,0.49735,0.62785,0.22634,0.000676802,0.000676802,0.000676802
14,1337.72,0.12576,0.15615,0.92522,0.9922,1,0.9949,0.90255,0.50118,0.60976,0.23262,0.000594286,0.000594286,0.000594286
15,1430.31,0.10054,0.14253,0.92588,0.99327,0.99401,0.995,0.9125,0.47026,0.6874,0.22541,0.000511769,0.000511769,0.000511769
16,1523.73,0.10181,0.12468,0.90655,0.99936,0.99829,0.995,0.89866,0.52942,0.52325,0.24225,0.000429253,0.000429253,0.000429253
17,1618.54,0.09357,0.12202,0.91313,0.9998,1,0.995,0.89361,0.50571,0.53002,0.23469,0.000346736,0.000346736,0.000346736
18,1714.4,0.0805,0.10769,0.90655,0.99982,0.99965,0.995,0.87003,0.52355,0.57666,0.24324,0.00026422,0.00026422,0.00026422
19,1812.76,0.0749,0.10382,0.9165,0.99838,0.99931,0.995,0.88966,0.50904,0.59403,0.24208,0.000181703,0.000181703,0.000181703
20,1909.47,0.06344,0.0861,0.90483,0.99923,0.99949,0.995,0.87551,0.53249,0.62889,0.2481,9.91865e-05,9.91865e-05,9.91865e-05
