epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7339,0.73905,3.74911,1.19296,0.07585,0.37698,0.09254,0.08736,0.34301,3.61937,0.57617,0.00010323,0.00010323,0.00010323
2,63.652,0.31326,2.88106,1.01505,0.30519,0.49159,0.20988,0.20703,0.26304,3.84567,0.66148,0.000189021,0.000189021,0.000189021
3,88.9582,0.23357,2.22266,0.97236,0.22194,0.58035,0.40185,0.3981,0.20055,3.04165,0.7155,0.000253713,0.000253713,0.000253713
4,114.872,0.21654,1.78677,0.9742,0.42523,0.60927,0.54936,0.54205,0.23981,2.37871,0.76413,0.000234099,0.000234099,0.000234099
5,140.778,0.19895,1.52537,0.95983,0.54967,0.75165,0.70447,0.68561,0.25079,1.54453,0.68326,0.000201132,0.000201132,0.000201132
6,167.667,0.21489,1.27804,0.95848,0.69083,0.75954,0.79078,0.78146,0.22262,1.18822,0.67004,0.000168165,0.000168165,0.000168165
7,194.334,0.19107,1.14709,0.94894,0.7607,0.75275,0.8358,0.8185,0.24421,1.03238,0.68499,0.000135198,0.000135198,0.000135198
8,220.343,0.1891,1.03288,0.94628,0.82749,0.82729,0.89168,0.8847,0.20928,0.88231,0.69256,0.000102231,0.000102231,0.000102231
9,247.391,0.16348,0.87662,0.94278,0.85605,0.8358,0.91075,0.90081,0.20406,0.78723,0.71484,6.9264e-05,6.9264e-05,6.9264e-05
10,273.062,0.1544,0.79258,0.92606,0.87567,0.84915,0.92657,0.91187,0.19996,0.72153,0.71432,3.6297e-05,3.6297e-05,3.6297e-05
