Class,Images,Instances,Box(P),Box(R),mAP50,mAP50-95
all,2601,2601,0.925,0.908,0.963,0.944
A,94,94,0.906,0.989,0.978,0.932
B,106,106,0.972,0.978,0.993,0.993
C,94,94,0.8,1,0.992,0.977
D,98,98,0.808,0.99,0.989,0.931
E,123,123,0.965,0.984,0.987,0.948
F,110,110,0.99,0.921,0.987,0.924
G,83,83,0.963,1,0.977,0.962
H,95,95,0.814,0.989,0.959,0.89
I,100,100,0.977,0.96,0.983,0.956
J,96,96,0.991,1,0.995,0.995
K,100,100,0.976,0.831,0.979,0.935
L,100,100,0.955,1,0.995,0.994
M,112,112,0.918,1,0.994,0.994
N,99,99,0.995,1,0.995,0.994
O,103,103,1,0.976,0.995,0.985
P,96,96,1,0.993,0.995,0.995
Q,112,112,1,0.595,0.85,0.849
R,115,115,1,0.875,0.987,0.987
S,93,93,0.989,0.973,0.994,0.994
T,110,110,0.989,0.982,0.994,0.975
U,95,95,0.891,0.905,0.957,0.914
V,102,102,0.966,0.282,0.877,0.827
W,102,102,0.974,0.98,0.994,0.992
X,88,88,0.286,0.636,0.641,0.64
Y,82,82,0.973,0.887,0.985,0.985
Z,93,93,0.949,0.882,0.976,0.976
