Class,Images,Instances,Box(P),R,mAP50,mAP50-95
all,2601,2601,0.99,0.996,0.995,0.995
A,101,101,0.999,1,0.995,0.995
B,109,109,0.991,0.995,0.995,0.995
C,117,117,0.999,1,0.995,0.995
D,101,101,0.999,1,0.995,0.995
E,104,104,1,0.983,0.995,0.995
F,91,91,0.999,1,0.995,0.995
G,98,98,1,0.95,0.995,0.995
H,102,102,1,0.977,0.995,0.995
I,87,87,0.999,1,0.995,0.995
J,98,98,0.999,1,0.995,0.995
K,102,102,0.999,1,0.995,0.995
L,82,82,0.999,1,0.995,0.995
M,117,117,0.999,1,0.995,0.995
N,106,106,0.999,1,0.995,0.995
O,98,98,0.999,1,0.995,0.995
P,91,91,0.999,1,0.995,0.995
Q,103,103,0.999,1,0.995,0.995
R,93,93,0.793,0.989,0.991,0.987
S,107,107,0.999,1,0.995,0.995
T,99,99,0.99,1,0.995,0.995
U,112,112,0.999,1,0.995,0.995
V,99,99,0.996,1,0.995,0.994
W,92,92,0.999,1,0.995,0.995
X,96,96,0.991,1,0.995,0.995
Y,97,97,0.999,1,0.995,0.995
Z,99,99,1,0.994,0.995,0.995
