
Class,Images,Instances,Box(P),R,mAP50,mAP50-95
all,2601,2601,0.993,0.994,0.995,0.995
A,110,110,0.993,1,0.995,0.995
B,108,108,0.99,0.981,0.988,0.988
C,102,102,0.973,1,0.995,0.995
D,102,102,0.996,1,0.995,0.995
E,101,101,0.992,0.96,0.995,0.995
F,120,120,1,1,0.995,0.995
G,98,98,1,0.948,0.994,0.994
H,90,90,0.989,0.979,0.995,0.995
I,102,102,0.997,1,0.995,0.995
J,122,122,0.997,1,0.995,0.995
K,81,81,0.99,1,0.995,0.995
L,85,85,0.996,1,0.995,0.995
M,110,110,0.997,1,0.995,0.995
N,98,98,0.996,1,0.995,0.995
O,96,96,0.996,1,0.995,0.995
P,110,110,0.997,1,0.995,0.995
Q,95,95,0.996,1,0.995,0.995
R,98,98,1,0.992,0.995,0.994
S,91,91,0.996,1,0.995,0.995
T,85,85,0.996,1,0.995,0.995
U,90,90,0.996,1,0.995,0.995
V,100,100,1,0.992,0.995,0.995
W,100,100,0.996,1,0.995,0.995
X,91,91,0.976,1,0.995,0.995
Y,108,108,0.986,1,0.995,0.995
Z,108,108,0.98,1,0.995,0.995
