Class,Images,Instances,Box(P),R,mAP50,mAP50-95
all,2600,2600,0.995,0.998,0.995,
A,79,79,0.996,1,0.995,
B,94,94,0.979,1,0.995,
C,107,107,0.997,1,0.995,
D,115,115,0.998,1,0.995,
E,103,103,0.99,0.993,0.995,
F,74,74,0.997,1,0.995,
G,102,102,0.99,0.991,0.995,
H,97,97,1,0.998,0.995,
I,104,104,0.998,1,0.995,
J,103,103,0.997,1,0.995,
K,98,98,0.997,0.99,0.989,
L,108,108,0.989,1,0.995,
M,93,93,0.997,1,0.995,
N,95,95,0.997,1,0.995,
O,89,89,0.997,1,0.995,
P,92,92,0.997,1,0.995,
Q,102,102,0.997,1,0.995,
R,86,86,0.996,0.977,0.995,
S,114,114,0.994,0.991,0.995,
T,115,115,0.998,1,0.995,
U,99,99,0.994,1,0.995,
V,115,115,0.988,1,0.995,
W,97,97,0.997,1,0.995,
X,107,107,0.99,1,0.995,
Y,111,111,0.998,1,0.995,
Z,101,101,0.998,1,0.995
