epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.854,0.42278,2.17061,1.07361,0.70759,0.69643,0.76765,0.75508,0.15699,1.23713,1.10068,0.0033304,0.0033304,0.0033304
2,1008.24,0.26465,0.90041,0.93954,0.79091,0.8175,0.90224,0.88867,0.15229,0.71166,1.08828,0.00659777,0.00659777,0.00659777
3,1493.97,0.30352,0.90264,0.94548,0.81917,0.87084,0.92134,0.91004,0.15177,0.65368,1.07539,0.00979913,0.00979913,0.00979913
4,1978.4,0.30324,0.89289,0.94641,0.9233,0.8824,0.95885,0.95256,0.18411,0.55622,1.09443,0.009703,0.009703,0.009703
5,2463.41,0.25696,0.76686,0.93129,0.922,0.95702,0.97727,0.9765,0.08788,0.38038,1.0598,0.009604,0.009604,0.009604
6,2950.28,0.23338,0.69076,0.92558,0.96966,0.98308,0.99093,0.98468,0.09132,0.22326,1.06746,0.009505,0.009505,0.009505
7,3441.91,0.21313,0.63351,0.91945,0.97303,0.97676,0.98995,0.98283,0.10448,0.22381,1.07996,0.009406,0.009406,0.009406
8,3932.28,0.2,0.59748,0.91839,0.97483,0.96611,0.99067,0.98999,0.07632,0.2959,1.05595,0.009307,0.009307,0.009307
9,4422.53,0.18891,0.55962,0.91515,0.8968,0.93173,0.95906,0.94043,0.11806,0.38401,1.07414,0.009208,0.009208,0.009208
10,4913.22,0.18044,0.53413,0.9118,0.97374,0.98205,0.98819,0.97814,0.06576,0.13514,1.05682,0.009109,0.009109,0.009109
11,5402.81,0.17209,0.52073,0.91146,0.98806,0.994,0.99366,0.98933,0.05367,0.10945,1.05098,0.00901,0.00901,0.00901
12,5894.36,0.16322,0.4934,0.90931,0.93351,0.9761,0.98457,0.97223,0.07516,0.21186,1.06607,0.008911,0.008911,0.008911
13,6385.94,0.15865,0.48214,0.90863,0.98662,0.98801,0.99287,0.99161,0.06543,0.18121,1.05504,0.008812,0.008812,0.008812
14,6876.49,0.156,0.45965,0.90815,0.98635,0.98833,0.9942,0.99243,0.05057,0.14542,1.05526,0.008713,0.008713,0.008713
15,7368.65,0.14842,0.4505,0.90524,0.98034,0.98763,0.9941,0.99021,0.04567,0.10242,1.04882,0.008614,0.008614,0.008614
16,7860.94,0.14732,0.44257,0.90552,0.95495,0.97939,0.99071,0.95812,0.10502,0.25671,1.07721,0.008515,0.008515,0.008515
17,8352.83,0.14461,0.4261,0.90534,0.9828,0.98287,0.99441,0.99344,0.04897,0.10308,1.05116,0.008416,0.008416,0.008416
18,8845.37,0.14097,0.42611,0.90471,0.98717,0.98842,0.99436,0.99389,0.03968,0.08981,1.05164,0.008317,0.008317,0.008317
19,9337.37,0.13937,0.4111,0.9034,0.95392,0.96859,0.99094,0.98893,0.05485,0.18888,1.05449,0.008218,0.008218,0.008218
20,9830.23,0.13644,0.40389,0.90353,0.96104,0.9319,0.97085,0.96432,0.06786,0.21431,1.05552,0.008119,0.008119,0.008119
21,10322,0.13308,0.3931,0.90026,0.98057,0.98501,0.99366,0.9932,0.03905,0.0994,1.04747,0.00802,0.00802,0.00802
22,10814.1,0.13141,0.38131,0.90168,0.98683,0.98978,0.99275,0.9903,0.03636,0.09798,1.0498,0.007921,0.007921,0.007921
23,11305.6,0.12782,0.38086,0.90274,0.99547,0.99258,0.99454,0.99437,0.03375,0.06797,1.04656,0.007822,0.007822,0.007822
24,11799.5,0.1259,0.37669,0.90098,0.98478,0.98959,0.99351,0.98955,0.03186,0.07928,1.0473,0.007723,0.007723,0.007723
25,12291.6,0.12609,0.37398,0.90261,0.98987,0.99166,0.99435,0.99417,0.03416,0.06615,1.04943,0.007624,0.007624,0.007624
26,12783.3,0.12372,0.36617,0.89938,0.98747,0.98966,0.99241,0.98905,0.03912,0.10034,1.05359,0.007525,0.007525,0.007525
27,13274.5,0.12242,0.35907,0.89975,0.9926,0.9892,0.99429,0.99357,0.03817,0.13406,1.05465,0.007426,0.007426,0.007426
28,13765.2,0.11832,0.36271,0.90074,0.99042,0.99344,0.99444,0.99398,0.02881,0.06339,1.04753,0.007327,0.007327,0.007327
29,14255.5,0.11772,0.35231,0.90024,0.98878,0.99514,0.9947,0.99304,0.02708,0.06094,1.04557,0.007228,0.007228,0.007228
30,14746.6,0.1182,0.34613,0.90014,0.98273,0.99279,0.99415,0.99117,0.03098,0.07817,1.0519,0.007129,0.007129,0.007129
31,15238.4,0.11472,0.34512,0.89969,0.98379,0.99174,0.99452,0.98977,0.03621,0.07719,1.05159,0.00703,0.00703,0.00703
32,15747.2,0.1144,0.33676,0.89817,0.99388,0.99216,0.99467,0.99357,0.0369,0.05864,1.04882,0.006931,0.006931,0.006931
33,16239.2,0.11369,0.33924,0.8988,0.99304,0.99434,0.99467,0.99461,0.03122,0.06408,1.04696,0.006832,0.006832,0.006832
34,16733.5,0.11127,0.33285,0.89965,0.99037,0.99349,0.994,0.99387,0.03115,0.05686,1.04654,0.006733,0.006733,0.006733
35,17225.9,0.11031,0.3258,0.89769,0.99464,0.99109,0.9945,0.99431,0.02792,0.05691,1.04601,0.006634,0.006634,0.006634
36,17717.6,0.11028,0.32377,0.89723,0.99413,0.99148,0.9945,0.99429,0.02624,0.06003,1.04523,0.006535,0.006535,0.006535
37,18210.3,0.10761,0.31968,0.89745,0.99483,0.9919,0.99408,0.98382,0.04263,0.08934,1.06457,0.006436,0.006436,0.006436
38,18703.4,0.10657,0.31715,0.89768,0.99429,0.99095,0.99402,0.98565,0.03923,0.09176,1.06626,0.006337,0.006337,0.006337
39,19195.8,0.10566,0.31294,0.89708,0.99124,0.99095,0.99421,0.98485,0.04257,0.09717,1.06534,0.006238,0.006238,0.006238
40,19688.2,0.10373,0.30896,0.89797,0.99317,0.99207,0.99405,0.98332,0.04171,0.09094,1.06642,0.006139,0.006139,0.006139
41,20176.4,0.10373,0.30671,0.89855,0.99234,0.99251,0.9941,0.99047,0.03851,0.08033,1.06496,0.00604,0.00604,0.00604
42,20685.4,0.10296,0.30737,0.89762,0.99153,0.99196,0.99445,0.99262,0.03368,0.09366,1.056,0.005941,0.005941,0.005941
43,21176.7,0.10083,0.30572,0.89602,0.97673,0.9827,0.99355,0.99207,0.02773,0.08663,1.04811,0.005842,0.005842,0.005842
44,21667.9,0.10034,0.30185,0.89622,0.98857,0.9862,0.9936,0.99267,0.02421,0.06923,1.04677,0.005743,0.005743,0.005743
45,22159.2,0.09957,0.29099,0.89522,0.98964,0.99041,0.99394,0.9932,0.02558,0.06437,1.0487,0.005644,0.005644,0.005644
46,22651.5,0.09925,0.29294,0.89479,0.9894,0.99215,0.99411,0.99366,0.02525,0.06156,1.04828,0.005545,0.005545,0.005545
47,23144,0.09885,0.29297,0.8964,0.99303,0.99168,0.99455,0.99362,0.02761,0.06246,1.05047,0.005446,0.005446,0.005446
48,23636.7,0.09666,0.28802,0.89648,0.98926,0.99337,0.99443,0.99419,0.02609,0.06186,1.04855,0.005347,0.005347,0.005347
49,24127.9,0.0967,0.2846,0.89572,0.99207,0.98753,0.99377,0.99341,0.02504,0.06086,1.04731,0.005248,0.005248,0.005248
50,24618.2,0.09536,0.28023,0.89381,0.9928,0.98934,0.99445,0.99414,0.02378,0.05702,1.04572,0.005149,0.005149,0.005149
51,25108.8,0.09427,0.28194,0.89374,0.99232,0.9908,0.99439,0.99392,0.02433,0.05727,1.04665,0.00505,0.00505,0.00505
52,25601.2,0.09488,0.28085,0.89616,0.99363,0.99078,0.99444,0.99394,0.02531,0.05638,1.04771,0.004951,0.004951,0.004951
53,26092.1,0.09241,0.27266,0.89535,0.99054,0.99295,0.99412,0.99377,0.02722,0.06084,1.04934,0.004852,0.004852,0.004852
54,26593.1,0.09406,0.27106,0.89612,0.99017,0.99062,0.99441,0.99365,0.02786,0.07182,1.05006,0.004753,0.004753,0.004753
55,27096.7,0.09163,0.26981,0.89475,0.98952,0.98842,0.99404,0.99235,0.02945,0.07671,1.05184,0.004654,0.004654,0.004654
56,27599.7,0.09017,0.26404,0.89542,0.98211,0.99515,0.99363,0.99119,0.03051,0.07583,1.05311,0.004555,0.004555,0.004555
57,28101.6,0.08901,0.26178,0.89386,0.9892,0.99074,0.99393,0.99119,0.03109,0.07748,1.05346,0.004456,0.004456,0.004456
58,28602.8,0.0884,0.25895,0.89342,0.98887,0.9922,0.99377,0.9912,0.03135,0.07703,1.05401,0.004357,0.004357,0.004357
59,29103.5,0.08786,0.25522,0.89419,0.99158,0.99119,0.99431,0.9922,0.03135,0.07457,1.05438,0.004258,0.004258,0.004258
60,29603.1,0.08855,0.25729,0.895,0.99103,0.99204,0.99429,0.99243,0.03047,0.07062,1.05372,0.004159,0.004159,0.004159
61,30103,0.08488,0.25398,0.89309,0.9924,0.99177,0.99434,0.99269,0.02954,0.06847,1.05273,0.00406,0.00406,0.00406
62,30604.5,0.08446,0.25063,0.89487,0.98961,0.99321,0.99424,0.99234,0.0294,0.06792,1.05255,0.003961,0.003961,0.003961
63,31107.1,0.08331,0.25108,0.89404,0.98946,0.99397,0.99361,0.99088,0.02944,0.0682,1.05276,0.003862,0.003862,0.003862
64,31608.8,0.0833,0.24253,0.89306,0.99049,0.99229,0.9933,0.98985,0.03008,0.06923,1.0539,0.003763,0.003763,0.003763
65,32111.6,0.08367,0.24133,0.89232,0.98938,0.99182,0.99309,0.98889,0.03096,0.07199,1.05513,0.003664,0.003664,0.003664
66,32613.1,0.08123,0.23852,0.89263,0.99069,0.989,0.99292,0.98741,0.03192,0.07448,1.05616,0.003565,0.003565,0.003565
67,33114.2,0.08168,0.23849,0.89332,0.99006,0.98958,0.99265,0.98596,0.03275,0.07543,1.05703,0.003466,0.003466,0.003466
68,33613.2,0.07964,0.23184,0.89237,0.98883,0.98925,0.99223,0.9843,0.03413,0.07859,1.05845,0.003367,0.003367,0.003367
69,34114,0.07912,0.23083,0.89209,0.98874,0.98927,0.99231,0.98383,0.03515,0.08219,1.05959,0.003268,0.003268,0.003268
70,34615.5,0.07875,0.2329,0.89324,0.98849,0.98991,0.99193,0.98316,0.036,0.08486,1.06018,0.003169,0.003169,0.003169
71,35120,0.07749,0.22765,0.89286,0.98795,0.99041,0.99191,0.98285,0.03656,0.08513,1.06053,0.00307,0.00307,0.00307
72,35625.8,0.0772,0.22584,0.88997,0.98831,0.99032,0.99209,0.98269,0.03761,0.0866,1.06157,0.002971,0.002971,0.002971
73,36130,0.07559,0.22095,0.89219,0.98943,0.99059,0.99231,0.98225,0.03875,0.08889,1.06268,0.002872,0.002872,0.002872
74,36630.5,0.07556,0.21797,0.89064,0.9894,0.99079,0.99252,0.98225,0.0395,0.0881,1.06324,0.002773,0.002773,0.002773
75,37130.6,0.07472,0.21615,0.89021,0.98938,0.99125,0.99261,0.98193,0.03996,0.08597,1.06347,0.002674,0.002674,0.002674
76,37633.7,0.07292,0.2118,0.8913,0.99168,0.99121,0.99304,0.98353,0.03926,0.08364,1.06254,0.002575,0.002575,0.002575
77,38135.2,0.07181,0.2108,0.89021,0.99092,0.99151,0.99306,0.98421,0.0382,0.08165,1.06115,0.002476,0.002476,0.002476
78,38638,0.07095,0.20864,0.88933,0.99135,0.99099,0.9932,0.98474,0.03753,0.07997,1.06023,0.002377,0.002377,0.002377
79,39140.6,0.0706,0.20194,0.8895,0.99112,0.9912,0.99264,0.98539,0.03653,0.07696,1.05886,0.002278,0.002278,0.002278
80,39641.5,0.07005,0.20154,0.89052,0.99098,0.99059,0.99291,0.98696,0.03507,0.07393,1.05705,0.002179,0.002179,0.002179
81,40143.7,0.06885,0.20015,0.89081,0.99142,0.99094,0.9932,0.98898,0.03405,0.07177,1.0559,0.00208,0.00208,0.00208
82,40645.7,0.06745,0.19645,0.88894,0.99066,0.99157,0.99284,0.98953,0.03352,0.07026,1.05516,0.001981,0.001981,0.001981
83,41148.6,0.06597,0.19295,0.88746,0.98995,0.99188,0.99294,0.98963,0.03355,0.0696,1.05505,0.001882,0.001882,0.001882
84,41650,0.06618,0.18997,0.88819,0.99006,0.99149,0.99296,0.98971,0.03344,0.06902,1.05496,0.001783,0.001783,0.001783
85,42151.2,0.06418,0.18796,0.88756,0.99083,0.99109,0.99284,0.98967,0.03337,0.06874,1.05485,0.001684,0.001684,0.001684
86,42655.2,0.06386,0.1858,0.88883,0.98819,0.99039,0.99277,0.98986,0.03297,0.06828,1.05439,0.001585,0.001585,0.001585
87,43157.2,0.06415,0.18666,0.88687,0.98711,0.99326,0.99275,0.98956,0.03269,0.06828,1.05402,0.001486,0.001486,0.001486
88,43658.8,0.06227,0.18169,0.88764,0.98711,0.99164,0.9925,0.98963,0.0325,0.0683,1.05379,0.001387,0.001387,0.001387
89,44162.2,0.06195,0.17759,0.88851,0.9872,0.9925,0.99242,0.9896,0.03206,0.06854,1.05304,0.001288,0.001288,0.001288
90,44666.2,0.06119,0.17565,0.89017,0.98754,0.99172,0.99234,0.9894,0.03188,0.06889,1.05261,0.001189,0.001189,0.001189
91,45161.5,0.0533,0.07707,0.90443,0.98861,0.99099,0.99233,0.98903,0.03168,0.06843,1.05268,0.00109,0.00109,0.00109
92,45654.8,0.0447,0.05081,0.90058,0.9895,0.98998,0.99247,0.98919,0.03136,0.06767,1.05266,0.000991,0.000991,0.000991
93,46137.8,0.0418,0.0479,0.89782,0.99015,0.98997,0.9926,0.98908,0.03111,0.06687,1.05263,0.000892,0.000892,0.000892
94,46623.9,0.03966,0.04503,0.89927,0.99061,0.99036,0.99271,0.98941,0.03071,0.06617,1.05239,0.000793,0.000793,0.000793
95,47111.1,0.03892,0.04343,0.89552,0.99171,0.99067,0.9929,0.98983,0.03048,0.06553,1.05234,0.000694,0.000694,0.000694
96,47592,0.03675,0.03913,0.89855,0.99211,0.99008,0.99273,0.98997,0.03017,0.0649,1.05204,0.000595,0.000595,0.000595
97,48072.1,0.03531,0.03685,0.89749,0.99271,0.99064,0.9929,0.99016,0.0301,0.06438,1.052,0.000496,0.000496,0.000496
98,48552.3,0.03336,0.03427,0.89803,0.99276,0.991,0.99298,0.99037,0.03011,0.06387,1.05204,0.000397,0.000397,0.000397
99,49033.8,0.03231,0.03143,0.89711,0.99231,0.99105,0.99273,0.99026,0.03018,0.0634,1.05217,0.000298,0.000298,0.000298
100,49513.1,0.03043,0.03118,0.89804,0.99273,0.99121,0.9928,0.99028,0.03034,0.06296,1.05236,0.000199,0.000199,0.000199
