Class,Images,Instances,Box(P),Box(R),mAP50,mAP50-95
all,2610,2610,0.973,0.992,0.99,0.987
A,108,108,0.987,1,0.995,0.995
B,84,84,0.995,1,0.995,0.995
C,94,94,0.995,1,0.995,0.995
D,112,112,0.939,1,0.98,0.976
E,104,104,0.976,1,0.995,0.994
F,110,110,0.895,0.934,0.968,0.952
G,100,100,0.99,0.988,0.995,0.995
H,84,84,0.994,1,0.995,0.995
I,105,105,0.757,0.971,0.948,0.895
J,94,94,0.995,1,0.995,0.995
K,87,87,0.976,0.989,0.985,0.984
L,111,111,0.995,1,0.995,0.995
M,88,88,0.984,1,0.995,0.995
N,106,106,0.99,0.963,0.993,0.985
O,104,104,0.916,0.939,0.972,0.972
P,98,98,0.995,1,0.995,0.995
Q,108,108,0.993,1,0.995,0.995
R,77,77,0.994,1,0.995,0.995
S,92,92,0.995,1,0.995,0.995
T,95,95,0.993,1,0.995,0.995
U,124,124,0.988,1,0.993,0.993
V,116,116,0.981,1,0.995,0.995
W,97,97,0.995,1,0.995,0.995
X,109,109,0.987,1,0.995,0.995
Y,95,95,0.995,1,0.995,0.995
Z,108,108,0.992,1,0.995,0.995
