Class,Images,Instances,Box(P),R,mAP50,mAP50-95
all,2610,2610,0.992,0.998,0.994,0.993
A,93,93,0.99,1,0.995,0.994
B,105,105,0.998,1,0.995,0.995
C,107,107,0.998,1,0.995,0.995
D,75,75,0.997,1,0.995,0.995
E,91,91,0.977,1,0.995,0.995
F,95,95,0.986,0.989,0.989,0.986
G,108,108,1,0.997,0.995,0.995
H,98,98,1,0.991,0.995,0.995
I,90,90,0.996,1,0.995,0.995
J,100,100,0.997,1,0.995,0.995
K,91,91,0.997,1,0.995,0.995
L,106,106,0.998,1,0.995,0.995
M,99,99,0.988,1,0.995,0.995
N,110,110,0.998,1,0.995,0.995
O,102,102,0.997,1,0.995,0.995
P,99,99,0.997,1,0.995,0.995
Q,109,109,0.994,1,0.995,0.995
R,102,102,0.926,0.983,0.977,0.965
S,101,101,0.998,1,0.995,0.995
T,117,117,0.998,1,0.995,0.995
U,103,103,0.993,1,0.995,0.995
V,92,92,0.987,1,0.995,0.995
W,100,100,0.997,1,0.995,0.995
X,106,106,0.997,1,0.995,0.995
Y,104,104,0.997,1,0.995,0.995
Z,107,107,0.998,1,0.995,0.995
