Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2598,2598,0.817,0.776,0.889,0.813
A,111,111,0.86,0.658,0.869,0.641
B,105,105,0.911,0.486,0.752,0.743
C,102,102,0.99,0.93,0.981,0.958
D,98,98,0.798,0.684,0.804,0.725
E,92,92,0.901,0.5,0.734,0.26
F,107,107,0.973,0.672,0.897,0.786
G,98,98,0.772,0.796,0.882,0.824
H,89,89,0.612,0.966,0.92,0.859
I,108,108,1,0.37,0.88,0.81
J,82,82,0.87,0.561,0.853,0.679
K,87,87,0.775,0.943,0.948,0.785
L,91,91,0.703,0.912,0.868,0.836
M,105,105,0.916,0.828,0.946,0.942
N,94,94,0.777,0.915,0.957,0.915
O,117,117,0.982,0.966,0.993,0.993
P,115,115,0.566,0.963,0.918,0.872
Q,106,106,0.599,0.859,0.899,0.89
R,122,122,1,0.655,0.979,0.977
S,94,94,0.904,0.862,0.929,0.916
T,87,87,0.817,0.668,0.73,0.717
U,104,104,0.462,1,0.904,0.835
V,86,86,0.884,0.799,0.933,0.823
W,103,103,0.602,0.941,0.958,0.921
X,94,94,0.756,0.856,0.891,0.801
Y,109,109,1,0.631,0.923,0.922
Z,92,92,0.809,0.761,0.762,0.707

