Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,1350,1350,0.952,0.975,0.989,0.963
A,89,89,0.952,0.978,0.985,0.95
B,54,54,0.951,1,0.995,0.924
C,50,50,0.947,0.98,0.993,0.94
D,56,56,0.914,0.964,0.985,0.947
E,66,66,0.996,0.955,0.994,0.984
F,44,44,0.981,1,0.995,0.989
G,67,67,0.967,1,0.995,0.976
H,50,50,0.874,0.972,0.975,0.911
I,48,48,1,0.927,0.992,0.965
J,45,45,0.981,1,0.995,0.983
K,42,42,0.949,0.881,0.985,0.91
L,48,48,0.984,0.917,0.961,0.896
M,45,45,0.945,1,0.988,0.964
N,51,51,0.865,0.961,0.979,0.941
O,53,53,0.925,1,0.995,0.986
P,47,47,0.964,1,0.995,0.993
Q,45,45,0.946,0.978,0.993,0.976
R,49,49,0.942,0.995,0.992,0.991
S,58,58,0.93,0.983,0.993,0.958
T,49,49,0.922,0.969,0.987,0.969
U,52,52,0.98,0.96,0.989,0.978
V,49,49,0.973,1,0.995,0.995
W,41,41,0.952,0.968,0.989,0.975
X,45,45,0.973,0.956,0.972,0.957
Y,55,55,1,1,0.995,0.993
Z,52,52,0.939,1,0.994,0.983
