,Precision,Recall,F1-Score,mAP50-95
A,0.999,1.0,0.9994997498749374,0.995
B,0.999,1.0,0.9994997498749374,0.995
C,0.999,1.0,0.9994997498749374,0.995
D,0.999,1.0,0.9994997498749374,0.995
E,0.997,1.0,0.99849774661993,0.995
F,1.0,1.0,1.0,0.995
G,1.0,1.0,0.99849774661993,0.995
H,1.0,1.0,0.998998998998999,0.995
I,0.999,1.0,0.9994997498749374,0.995
J,1.0,1.0,0.99849774661993,0.995
K,0.999,1.0,0.9994997498749374,0.995
L,0.998,1.0,0.998998998998999,0.995
M,0.997,1.0,0.99849774661993,0.995
N,0.999,1.0,0.9994997498749374,0.995
O,0.999,1.0,0.9994997498749374,0.995
P,0.999,1.0,0.9994997498749374,0.995
Q,0.999,1.0,0.9994997498749374,0.995
R,1.0,1.0,0.9974937343358395,0.994
S,0.999,1.0,0.9994997498749374,0.995
T,0.999,1.0,0.9994997498749374,0.995
U,0.999,1.0,0.9994997498749374,0.995
V,1.0,1.0,0.9994997498749374,0.995
W,0.998,1.0,0.998998998998999,0.995
X,1.0,1.0,0.9994997498749374,0.995
Y,1.0,1.0,0.998998998998999,0.995
Z,1.0,1.0,0.998998998998999,0.995
