Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2610,2610,0.994,0.994,0.995,0.993
A,105,105,0.998,1,0.995,0.994
B,92,92,1,0.971,0.986,0.978
C,115,115,0.998,1,0.995,0.995
D,112,112,0.997,1,0.995,0.989
E,90,90,1,0.947,0.994,0.994
F,97,97,0.992,0.99,0.995,0.99
G,86,86,0.975,1,0.995,0.995
H,113,113,1,0.987,0.995,0.995
I,83,83,0.985,1,0.995,0.994
J,101,101,0.997,1,0.995,0.995
K,92,92,1,0.976,0.995,0.991
L,103,103,0.987,1,0.995,0.994
M,106,106,0.991,0.995,0.995,0.995
N,97,97,0.998,1,0.995,0.995
O,110,110,0.997,1,0.995,0.995
P,110,110,1,1,0.995,0.994
Q,105,105,0.989,1,0.995,0.995
R,109,109,0.997,1,0.995,0.995
S,97,97,0.997,1,0.995,0.995
T,85,85,0.986,1,0.995,0.995
U,85,85,0.996,1,0.995,0.995
V,112,112,1,0.993,0.995,0.992
W,87,87,0.996,1,0.995,0.995
X,116,116,0.978,1,0.995,0.995
Y,105,105,0.994,1,0.995,0.995
Z,97,97,1,0.99,0.995,0.995
