Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2601,2601,0.998,0.996,0.995,0.995
A,104,104,1,1,0.995,0.995
B,103,103,1,0.99,0.995,0.994
C,105,105,0.998,1,0.995,0.994
D,70,70,0.998,1,0.995,0.995
E,97,97,1,0.971,0.994,0.994
F,95,95,0.998,1,0.995,0.995
G,99,99,1,0.956,0.995,0.995
H,108,108,0.999,1,0.995,0.995
I,75,75,1,1,0.995,0.995
J,99,99,1,1,0.995,0.995
K,111,111,1,0.984,0.995,0.995
L,107,107,0.999,1,0.995,0.995
M,93,93,1,1,0.995,0.995
N,116,116,0.999,1,0.995,0.995
O,112,112,0.998,1,0.995,0.995
P,90,90,0.998,1,0.995,0.995
Q,112,112,1,1,0.995,0.995
R,96,96,0.998,1,0.995,0.995
S,113,113,0.998,1,0.995,0.995
T,113,113,0.998,1,0.995,0.995
U,89,89,0.987,1,0.995,0.995
V,107,107,1,1,0.995,0.995
W,108,108,0.999,1,0.995,0.995
X,99,99,0.99,0.997,0.994,0.993
Y,96,96,1,1,0.995,0.995
Z,84,84,0.997,1,0.995,0.995
