Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2601,2601,0.914,0.932,0.976,0.94
A,102,102,0.913,0.93,0.967,0.921
B,95,95,0.938,0.979,0.985,0.953
C,95,95,0.942,0.937,0.976,0.969
D,96,96,0.966,0.99,0.994,0.961
E,104,104,0.746,0.942,0.901,0.835
F,79,79,0.987,0.948,0.993,0.967
G,97,97,0.852,0.952,0.979,0.976
H,110,110,0.877,0.982,0.978,0.965
I,100,100,0.976,0.98,0.993,0.969
J,124,124,0.966,0.879,0.985,0.892
K,93,93,0.748,0.925,0.956,0.937
L,94,94,0.79,0.957,0.978,0.93
M,113,113,0.996,0.965,0.993,0.983
N,115,115,1,0.988,0.995,0.995
O,92,92,0.919,1,0.994,0.982
P,89,89,0.962,0.933,0.982,0.969
Q,105,105,0.975,0.757,0.965,0.911
R,86,86,0.975,0.924,0.99,0.953
S,92,92,0.915,0.891,0.971,0.86
T,115,115,1,0.945,0.995,0.97
U,86,86,0.965,0.919,0.982,0.961
V,103,103,0.932,0.99,0.991,0.973
W,114,114,0.822,0.972,0.976,0.907
X,111,111,0.693,1,0.965,0.93
Y,94,94,0.958,0.968,0.99,0.975
Z,97,97,0.95,0.589,0.908,0.805
