Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
all,2600,2600,0.995,0.996,0.995,0.995
A,123,123,0.997,1,0.995,0.995
B,107,107,1,0.964,0.995,0.995
C,110,110,0.997,1,0.995,0.995
D,105,105,0.997,1,0.995,0.995
E,106,106,0.977,1,0.995,0.995
F,110,110,1,0.999,0.995,0.995
G,91,91,1,0.954,0.994,0.994
H,94,94,1,1,0.995,0.995
I,94,94,0.996,1,0.995,0.995
J,82,82,0.996,1,0.995,0.995
K,94,94,0.994,1,0.995,0.995
L,93,93,0.996,1,0.995,0.992
M,97,97,0.967,1,0.995,0.995
N,115,115,1,0.985,0.995,0.995
O,91,91,0.996,1,0.995,0.995
P,103,103,0.996,1,0.995,0.995
Q,102,102,0.996,1,0.995,0.995
R,104,104,0.996,1,0.995,0.995
S,101,101,0.997,1,0.995,0.995
T,100,100,0.997,1,0.995,0.995
U,85,85,0.993,1,0.995,0.995
V,102,102,0.997,1,0.995,0.995
W,114,114,1,0.99,0.995,0.995
X,93,93,0.996,1,0.995,0.995
Y,101,101,1,0.999,0.995,0.995
Z,83,83,0.996,1,0.995,0.995

