epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.527,0.83316,3.98538,2.2033,0.68905,0.71412,0.79685,0.74422,0.63788,2.24965,2.5231,0.0033304,0.0033304,0.0033304
2,1143.2,0.5972,1.94985,1.94035,0.7411,0.6905,0.74456,0.65722,0.83995,2.82993,2.64841,0.00659777,0.00659777,0.00659777
3,1696.35,0.67151,1.97575,1.96005,0.69399,0.70362,0.78005,0.60411,0.74365,3.13086,2.6101,0.00979913,0.00979913,0.00979913
4,2260.34,0.62475,1.87079,1.95568,0.85847,0.79971,0.88517,0.83832,0.59572,1.44481,2.43818,0.009703,0.009703,0.009703
5,2826.95,0.5335,1.55663,1.90887,0.85006,0.86798,0.92373,0.59284,1.24641,2.87015,3.06,0.009604,0.009604,0.009604
6,3392.03,0.47192,1.38402,1.889,0.89652,0.915,0.96388,0.9317,0.37333,0.70232,2.27904,0.009505,0.009505,0.009505
7,3955.61,0.43017,1.25237,1.86834,0.82831,0.70878,0.85643,0.40359,2.06905,3.61115,3.52543,0.009406,0.009406,0.009406
8,4519.67,0.40828,1.19371,1.86365,0.45506,0.77528,0.55822,0.28808,2.31172,4.52179,4.28212,0.009307,0.009307,0.009307
9,5085.93,0.38419,1.0967,1.8537,0.54078,0.68297,0.6018,0.19099,3.39173,5.22472,5.34805,0.009208,0.009208,0.009208
10,5652.02,0.35819,1.04191,1.83956,0.90902,0.88238,0.95849,0.60316,2.01842,2.48452,4.65647,0.009109,0.009109,0.009109
11,6216.96,0.35305,1.00702,1.84541,0.74575,0.52255,0.62578,0.2259,2.64605,4.16854,3.47498,0.00901,0.00901,0.00901
12,6782.59,0.33615,0.97208,1.84073,0.45674,0.47378,0.43219,0.10686,3.49622,5.99183,4.82761,0.008911,0.008911,0.008911
13,7350.15,0.32596,0.9469,1.83563,0.33895,0.51228,0.3497,0.13894,2.32738,6.38005,3.85963,0.008812,0.008812,0.008812
14,7917.49,0.31616,0.89627,1.83426,0.67334,0.74704,0.7423,0.24252,2.80216,4.9642,5.37525,0.008713,0.008713,0.008713
15,8482.23,0.30615,0.88465,1.83071,0.53792,0.58329,0.55942,0.24228,1.80403,4.10283,3.5172,0.008614,0.008614,0.008614
16,9048.24,0.29347,0.86259,1.82521,0.86403,0.77304,0.87817,0.53887,1.80404,2.73197,5.04212,0.008515,0.008515,0.008515
17,9614.16,0.29409,0.84168,1.82495,0.89458,0.90397,0.90032,0.31129,3.5154,8.1714,4.78884,0.008416,0.008416,0.008416
18,10180,0.28126,0.81984,1.82002,0.93467,0.90082,0.94883,0.42322,2.27223,4.34155,3.64145,0.008317,0.008317,0.008317
19,10745,0.28023,0.80387,1.81931,0.86075,0.89308,0.94348,0.55994,2.35837,3.49835,4.51371,0.008218,0.008218,0.008218
20,11312.1,0.27647,0.793,1.82078,0.73818,0.72315,0.80383,0.53018,1.13759,3.36424,3.24045,0.008119,0.008119,0.008119
21,11878.3,0.27094,0.77433,1.81734,0.95863,0.94319,0.97168,0.36561,3.13024,4.66329,5.60326,0.00802,0.00802,0.00802
22,12445,0.26694,0.76741,1.81559,0.64184,0.82283,0.75963,0.32231,2.50537,3.96307,5.15162,0.007921,0.007921,0.007921
23,13011,0.26496,0.74173,1.82346,0.82403,0.83879,0.92333,0.64126,1.36483,2.97569,3.19763,0.007822,0.007822,0.007822
24,13578,0.25655,0.73449,1.81301,0.61059,0.6045,0.63832,0.33077,1.32795,3.07905,3.42984,0.007723,0.007723,0.007723
25,14146.1,0.24996,0.72973,1.81258,0.40128,0.63044,0.45587,0.1599,2.52978,6.31471,3.47415,0.007624,0.007624,0.007624
26,14712.2,0.25182,0.70566,1.80998,0.52237,0.66265,0.56517,0.17616,3.58325,5.89126,4.51635,0.007525,0.007525,0.007525
27,15276.2,0.24613,0.70924,1.80911,0.55555,0.63774,0.59804,0.16714,3.27345,4.64197,4.16888,0.007426,0.007426,0.007426
28,15842.8,0.24431,0.70123,1.8136,0.53242,0.57811,0.49189,0.11615,3.23039,6.09257,4.61431,0.007327,0.007327,0.007327
29,16409.6,0.2432,0.69337,1.8108,0.47295,0.69064,0.53675,0.18834,3.38563,6.37523,4.52976,0.007228,0.007228,0.007228
30,16976.1,0.2406,0.68135,1.81102,0.56492,0.75994,0.6563,0.15035,3.97779,8.0895,5.23495,0.007129,0.007129,0.007129
31,17542.4,0.23396,0.6741,1.80931,0.46359,0.61384,0.48678,0.15968,3.31673,6.17673,4.38558,0.00703,0.00703,0.00703
32,18108.7,0.23341,0.66243,1.80739,0.81249,0.78535,0.83656,0.37859,2.39522,4.23811,3.79589,0.006931,0.006931,0.006931
33,18675.7,0.22742,0.65884,1.80551,0.79602,0.80636,0.85795,0.47159,2.07628,3.2676,4.07095,0.006832,0.006832,0.006832
34,19243.8,0.22687,0.64837,1.80698,0.73755,0.84335,0.82176,0.29802,2.90271,4.06139,3.94484,0.006733,0.006733,0.006733
35,19811,0.22708,0.62268,1.80515,0.92196,0.90663,0.95967,0.54594,2.05586,2.54715,3.99658,0.006634,0.006634,0.006634
36,20378.5,0.22308,0.63207,1.80365,0.83476,0.84664,0.91588,0.48268,2.22248,2.78571,4.02543,0.006535,0.006535,0.006535
37,20943.9,0.21758,0.63223,1.80449,0.70574,0.787,0.77939,0.32965,2.44887,3.47909,4.10913,0.006436,0.006436,0.006436
38,21508.4,0.21811,0.61237,1.80506,0.7599,0.81712,0.84676,0.35058,2.69719,3.98802,4.25625,0.006337,0.006337,0.006337
39,22074,0.21844,0.6108,1.8028,0.88902,0.89652,0.95881,0.39918,2.95609,3.55342,4.50806,0.006238,0.006238,0.006238
