epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,585.015,1.21775,4.03955,2.37475,0.80854,0.77895,0.88989,0.84675,0.72426,1.93871,2.58321,0.0033304,0.0033304,0.0033304
2,1150.78,0.82602,1.93883,2.04584,0.84387,0.86097,0.89949,0.84432,0.57035,1.59627,2.40068,0.00659777,0.00659777,0.00659777
3,1714.79,0.88556,1.95995,2.06712,0.78434,0.82498,0.88936,0.74709,0.9657,2.35004,2.79294,0.00979913,0.00979913,0.00979913
4,2273.56,0.84566,1.85852,2.07211,0.77449,0.83347,0.859,0.73692,1.09168,2.39398,2.96892,0.009703,0.009703,0.009703
5,2835.21,0.72398,1.57535,2.01354,0.6576,0.77353,0.77575,0.53038,0.89656,3.47996,2.77129,0.009604,0.009604,0.009604
6,3394.95,0.65601,1.44327,1.98461,0.87831,0.88657,0.95035,0.83009,0.69576,1.72817,2.6722,0.009505,0.009505,0.009505
7,3955.42,0.60747,1.32781,1.95871,0.87452,0.84952,0.91457,0.79952,0.6437,3.31555,2.53033,0.009406,0.009406,0.009406
8,4514.26,0.56724,1.26299,1.93972,0.86895,0.82329,0.88739,0.80075,0.60091,1.96448,2.58975,0.009307,0.009307,0.009307
9,5074.58,0.54534,1.22189,1.92941,0.8205,0.85823,0.91994,0.67215,1.46459,2.85902,3.22162,0.009208,0.009208,0.009208
10,5634.02,0.52554,1.17152,1.91782,0.8993,0.8889,0.95529,0.46799,2.64324,2.95585,4.56149,0.009109,0.009109,0.009109
11,6193.8,0.50641,1.14171,1.91578,0.73207,0.76039,0.80268,0.65276,0.97045,1.93932,2.89318,0.00901,0.00901,0.00901
12,6753.69,0.48954,1.10613,1.91038,0.77065,0.79901,0.82783,0.53435,1.50398,4.02083,3.39824,0.008911,0.008911,0.008911
13,7313.79,0.47185,1.0662,1.89746,0.90071,0.90736,0.94731,0.73281,1.31411,1.99796,3.60216,0.008812,0.008812,0.008812
14,7874.51,0.46658,1.03559,1.89925,0.88614,0.89138,0.94308,0.7089,0.85178,2.13554,2.89672,0.008713,0.008713,0.008713
15,8434.06,0.44524,1.01943,1.88651,0.89703,0.91434,0.95077,0.59409,1.5567,2.8926,3.64645,0.008614,0.008614,0.008614
16,8990.83,0.44253,0.9921,1.88823,0.73458,0.83077,0.86829,0.48392,1.33368,3.1449,2.91745,0.008515,0.008515,0.008515
17,9550.17,0.43151,0.98156,1.8819,0.91342,0.89881,0.9733,0.65518,1.86999,1.80896,3.89706,0.008416,0.008416,0.008416
18,10107.4,0.42739,0.97021,1.87862,0.95642,0.95279,0.97659,0.43214,3.06108,3.0978,5.61836,0.008317,0.008317,0.008317
19,10667.6,0.41588,0.94568,1.8731,0.68416,0.79747,0.81649,0.44276,1.44513,2.61201,3.38837,0.008218,0.008218,0.008218
20,11228.7,0.41156,0.92628,1.87353,0.88984,0.92606,0.96409,0.57713,1.85102,2.72067,3.78688,0.008119,0.008119,0.008119
21,11790.1,0.40435,0.92471,1.86867,0.88164,0.89508,0.91424,0.35939,2.68684,2.91703,5.59522,0.00802,0.00802,0.00802
22,12353.3,0.3911,0.90895,1.86245,0.50869,0.67042,0.5419,0.24958,1.61365,4.55725,3.31388,0.007921,0.007921,0.007921
23,12917.6,0.3849,0.89648,1.86416,0.67622,0.79731,0.78652,0.39741,2.3265,2.98401,3.27732,0.007822,0.007822,0.007822
24,13481.5,0.37985,0.86803,1.86014,0.93125,0.93666,0.97775,0.82199,0.98333,1.4619,2.94273,0.007723,0.007723,0.007723
25,14044.9,0.37723,0.87148,1.8581,0.94341,0.95028,0.98241,0.75906,1.38603,2.69548,3.34465,0.007624,0.007624,0.007624
26,14608,0.37791,0.86506,1.85495,0.85415,0.87026,0.93027,0.74206,1.24901,2.23549,3.72638,0.007525,0.007525,0.007525
27,15171.4,0.36693,0.84985,1.85232,0.73798,0.7279,0.80845,0.61316,1.1296,2.39922,3.5727,0.007426,0.007426,0.007426
28,15735.2,0.36466,0.84915,1.85448,0.8426,0.73111,0.86334,0.54082,1.55883,3.11432,3.49068,0.007327,0.007327,0.007327
29,16299.6,0.35721,0.84168,1.84898,0.77452,0.83465,0.87958,0.50014,1.4478,2.97836,3.24925,0.007228,0.007228,0.007228
30,16862.6,0.34991,0.82351,1.8465,0.72463,0.7374,0.77503,0.56258,0.93884,3.14745,2.58483,0.007129,0.007129,0.007129
31,17423.9,0.34837,0.81903,1.84657,0.84641,0.81083,0.88398,0.74001,0.68771,2.21156,2.5461,0.00703,0.00703,0.00703
32,17986,0.3451,0.81344,1.84376,0.91011,0.86179,0.93548,0.83023,0.43702,1.65988,2.31826,0.006931,0.006931,0.006931
33,18553.2,0.34019,0.79892,1.84362,0.86656,0.82925,0.89114,0.8103,0.43901,1.59438,2.36122,0.006832,0.006832,0.006832
34,19113.2,0.33472,0.78684,1.84244,0.75857,0.6412,0.70824,0.59875,0.69741,3.07824,2.67035,0.006733,0.006733,0.006733
35,19672.8,0.33566,0.77606,1.84045,0.83544,0.68043,0.78667,0.51713,1.03064,2.98278,2.99334,0.006634,0.006634,0.006634
36,20231.9,0.33097,0.76423,1.83812,0.89326,0.55626,0.71782,0.5011,0.95436,5.03324,2.9414,0.006535,0.006535,0.006535
37,20789.8,0.3286,0.7738,1.84087,0.62229,0.50207,0.56376,0.29533,1.4175,5.36893,3.06525,0.006436,0.006436,0.006436
38,21361,0.32789,0.74903,1.84176,0.7192,0.58201,0.68837,0.36442,1.42154,4.18644,3.07176,0.006337,0.006337,0.006337
39,21918,0.31764,0.74782,1.83183,0.60139,0.61565,0.62576,0.21248,1.96525,4.58359,3.45215,0.006238,0.006238,0.006238
40,22469.4,0.31655,0.73427,1.8371,0.64485,0.71575,0.7064,0.18644,2.62541,4.92028,3.85169,0.006139,0.006139,0.006139
41,23019.5,0.31564,0.74134,1.83573,0.62423,0.79631,0.75389,0.16489,2.93184,5.87286,4.14262,0.00604,0.00604,0.00604
42,23562.3,0.31242,0.73337,1.83192,0.67503,0.83404,0.80958,0.1711,3.13818,5.97398,4.2398,0.005941,0.005941,0.005941
43,24107.9,0.30779,0.72373,1.83093,0.71293,0.85945,0.8406,0.26758,2.4663,4.489,3.78874,0.005842,0.005842,0.005842
