epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.93,1.42945,4.97155,2.50557,0.7695,0.6403,0.74314,0.71999,0.72231,3.61355,2.56289,0.00332769,0.00332769,0.00332769
2,595.447,0.92104,2.26184,2.08088,0.77822,0.811,0.86485,0.77348,1.20402,2.45522,2.89655,0.00659508,0.00659508,0.00659508
3,881.052,1.05282,2.23786,2.11175,0.71329,0.63168,0.69721,0.52124,1.75637,3.68342,3.34863,0.00979647,0.00979647,0.00979647
4,1167.81,1.03714,2.22282,2.1077,0.73084,0.68094,0.72747,0.59415,1.29853,2.90337,3.01879,0.009703,0.009703,0.009703
5,1457.63,0.89608,1.9584,2.04743,0.92211,0.91385,0.96215,0.84682,0.98654,1.68176,2.66957,0.009604,0.009604,0.009604
6,1741.44,0.81259,1.77375,2.01876,0.83978,0.83797,0.89855,0.82331,0.83077,1.94841,2.56017,0.009505,0.009505,0.009505
7,2022.63,0.75373,1.67552,1.9949,0.82459,0.89522,0.92905,0.83632,0.7745,1.24958,2.69615,0.009406,0.009406,0.009406
8,2304.84,0.70131,1.55836,1.96851,0.87513,0.90666,0.92789,0.83617,0.75238,1.32956,2.57669,0.009307,0.009307,0.009307
9,2587.43,0.67435,1.52946,1.96787,0.87366,0.94429,0.94845,0.87522,0.73786,1.29537,2.60182,0.009208,0.009208,0.009208
10,2869.85,0.65562,1.45722,1.95416,0.88789,0.90531,0.94372,0.90916,0.4534,1.35876,2.28894,0.009109,0.009109,0.009109
11,3151.5,0.62942,1.40084,1.95589,0.81479,0.81434,0.86633,0.80711,0.6509,1.66863,2.38872,0.00901,0.00901,0.00901
12,3434.25,0.60665,1.3727,1.94262,0.866,0.91522,0.93486,0.84944,0.71709,1.65967,2.68404,0.008911,0.008911,0.008911
13,3716.59,0.57228,1.31987,1.92759,0.83782,0.84557,0.88847,0.81008,0.74512,1.80848,2.47602,0.008812,0.008812,0.008812
14,3999.24,0.55997,1.26777,1.92281,0.80497,0.87131,0.89176,0.8218,0.55409,1.47236,2.39704,0.008713,0.008713,0.008713
15,4281.8,0.5392,1.2447,1.91077,0.9255,0.94687,0.97531,0.95781,0.36227,0.96351,2.23819,0.008614,0.008614,0.008614
16,4563.93,0.52845,1.21807,1.9192,0.92624,0.9061,0.95887,0.91468,0.49862,2.52502,2.33583,0.008515,0.008515,0.008515
17,4845.69,0.51851,1.19339,1.90888,0.96856,0.922,0.97332,0.95829,0.31054,2.04643,2.20416,0.008416,0.008416,0.008416
18,5127.31,0.50783,1.19,1.91825,0.92601,0.94533,0.97955,0.92999,0.48824,1.32931,2.46229,0.008317,0.008317,0.008317
19,5408.92,0.48827,1.13956,1.91306,0.79022,0.87374,0.91464,0.85363,0.57229,1.2339,2.46952,0.008218,0.008218,0.008218
20,5689.85,0.48651,1.12217,1.91026,0.92804,0.86208,0.93188,0.89866,0.442,1.37557,2.36886,0.008119,0.008119,0.008119
21,5970.69,0.47408,1.12146,1.90583,0.92322,0.9322,0.96821,0.90652,0.52062,1.10311,2.38319,0.00802,0.00802,0.00802
22,6252.43,0.46592,1.07611,1.90276,0.87277,0.90733,0.949,0.7872,1.021,1.54046,2.78838,0.007921,0.007921,0.007921
23,6534.66,0.46003,1.05607,1.89775,0.81837,0.8353,0.89656,0.82128,0.54611,1.55672,2.38519,0.007822,0.007822,0.007822
24,6817.08,0.44575,1.07334,1.89204,0.92648,0.84416,0.93854,0.88278,0.41867,1.37421,2.33078,0.007723,0.007723,0.007723
25,7100.21,0.44795,1.04553,1.89334,0.95236,0.97446,0.98875,0.96271,0.31906,2.40666,2.29949,0.007624,0.007624,0.007624
