epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.882,0.56319,2.11689,1.17317,0.79737,0.71297,0.8103,0.77059,0.30867,1.78876,1.15079,0.0033304,0.0033304,0.0033304
2,1121.62,0.34764,0.89555,0.97428,0.9212,0.92205,0.94763,0.92634,0.28125,0.90895,1.20417,0.00659776,0.00659776,0.00659776
3,1659.7,0.41729,0.92599,0.98346,0.68384,0.7938,0.83596,0.74783,0.45144,1.34389,1.28634,0.00979913,0.00979913,0.00979913
4,2198.03,0.40696,0.90203,0.978,0.91795,0.95383,0.97136,0.93599,0.24549,0.74617,1.15517,0.009703,0.009703,0.009703
5,2736.82,0.3456,0.77605,0.95557,0.92674,0.92384,0.96109,0.89597,0.30539,0.54121,1.21288,0.009604,0.009604,0.009604
6,3276.74,0.30812,0.70338,0.94454,0.9351,0.9473,0.97265,0.91983,0.26888,0.79648,1.17437,0.009505,0.009505,0.009505
7,3815.27,0.28053,0.65181,0.93499,0.9693,0.97515,0.98753,0.96997,0.14837,0.38997,1.09811,0.009406,0.009406,0.009406
8,4355.59,0.25879,0.6102,0.92772,0.90022,0.97035,0.9552,0.91706,0.18734,0.77778,1.13308,0.009307,0.009307,0.009307
9,4895.07,0.24675,0.58896,0.92672,0.96064,0.96278,0.98297,0.96355,0.14777,0.7973,1.09925,0.009208,0.009208,0.009208
10,5434.9,0.23659,0.55812,0.92397,0.9648,0.98204,0.98872,0.97508,0.13653,0.43531,1.09357,0.009109,0.009109,0.009109
11,5980.53,0.22683,0.53145,0.92144,0.927,0.98418,0.97836,0.93711,0.27731,0.63543,1.23233,0.00901,0.00901,0.00901
12,6527.96,0.21525,0.5173,0.91847,0.99225,0.991,0.99452,0.99087,0.08292,0.31731,1.06683,0.008911,0.008911,0.008911
13,7074.19,0.2095,0.50164,0.91698,0.98467,0.98745,0.99407,0.98419,0.10579,0.53259,1.07626,0.008812,0.008812,0.008812
14,7621.18,0.20213,0.48632,0.91553,0.99323,0.99329,0.99376,0.98962,0.09883,0.42024,1.07945,0.008713,0.008713,0.008713
15,8167.37,0.19847,0.47943,0.91485,0.97877,0.98018,0.98661,0.96908,0.10335,0.94745,1.08458,0.008614,0.008614,0.008614
16,8712.63,0.19275,0.466,0.91358,0.97479,0.98826,0.9902,0.9697,0.10033,0.43654,1.07568,0.008515,0.008515,0.008515
17,9259.77,0.18819,0.45395,0.91297,0.98358,0.98602,0.99218,0.98953,0.07458,0.22771,1.05721,0.008416,0.008416,0.008416
18,9795.53,0.17797,0.43705,0.91078,0.94691,0.9803,0.981,0.95021,0.12052,0.70596,1.08658,0.008317,0.008317,0.008317
19,10327.3,0.17737,0.43608,0.90948,0.8966,0.94805,0.94288,0.92009,0.13907,0.92968,1.08521,0.008218,0.008218,0.008218
20,10859.8,0.17308,0.42122,0.90812,0.98291,0.99329,0.99324,0.9908,0.06039,0.14927,1.0542,0.008119,0.008119,0.008119
21,11390.2,0.16909,0.41783,0.90686,0.95686,0.98718,0.98272,0.95973,0.07362,0.56309,1.0659,0.00802,0.00802,0.00802
22,11924.1,0.1658,0.40573,0.90772,0.99204,0.99467,0.99486,0.9925,0.06701,0.15546,1.0622,0.007921,0.007921,0.007921
23,12456.3,0.16408,0.40148,0.90749,0.98699,0.98825,0.99319,0.98837,0.0629,0.2058,1.05681,0.007822,0.007822,0.007822
24,12988.8,0.15973,0.39651,0.90531,0.99638,0.99417,0.99491,0.99189,0.05517,0.27892,1.05848,0.007723,0.007723,0.007723
25,13520.9,0.15676,0.38477,0.90573,0.98533,0.99551,0.99233,0.99039,0.05163,0.25474,1.05182,0.007624,0.007624,0.007624
26,14052.9,0.15605,0.37758,0.90556,0.97779,0.98071,0.98924,0.96977,0.11669,0.30004,1.10036,0.007525,0.007525,0.007525
27,14583.7,0.15228,0.37106,0.90455,0.99343,0.9975,0.99498,0.99328,0.05342,0.14135,1.05718,0.007426,0.007426,0.007426
28,15115.4,0.15255,0.37168,0.90613,0.99303,0.99777,0.99493,0.99368,0.05025,0.22397,1.05201,0.007327,0.007327,0.007327
29,15647.5,0.14836,0.36653,0.90389,0.9978,0.99494,0.99442,0.9937,0.0551,0.22251,1.04988,0.007228,0.007228,0.007228
30,16177.7,0.14693,0.36072,0.90366,0.99342,0.99302,0.99432,0.99221,0.06581,0.46148,1.05885,0.007129,0.007129,0.007129
31,16708.6,0.1461,0.35723,0.90501,0.99555,0.99377,0.99483,0.99195,0.07031,0.13817,1.06317,0.00703,0.00703,0.00703
32,17238.4,0.14088,0.35087,0.90152,0.99745,0.99405,0.99496,0.99262,0.05377,0.38455,1.05496,0.006931,0.006931,0.006931
33,17769.6,0.13992,0.3449,0.90136,0.98769,0.9926,0.9937,0.9914,0.05946,0.19648,1.05703,0.006832,0.006832,0.006832
34,18302.5,0.13866,0.34505,0.90159,0.9943,0.9927,0.99444,0.98963,0.05568,0.4245,1.05712,0.006733,0.006733,0.006733
35,18832.1,0.13827,0.33598,0.90252,0.99158,0.99365,0.99478,0.9932,0.05166,0.24926,1.05578,0.006634,0.006634,0.006634
36,19365.3,0.13679,0.33986,0.90264,0.98553,0.99389,0.9944,0.99106,0.06816,0.48138,1.06928,0.006535,0.006535,0.006535
37,19896,0.13345,0.33544,0.90126,0.99182,0.99406,0.99461,0.99321,0.06504,0.30626,1.0651,0.006436,0.006436,0.006436
38,20427.2,0.13233,0.33011,0.90035,0.97143,0.99283,0.98765,0.97707,0.07269,0.40659,1.06968,0.006337,0.006337,0.006337
39,20959.1,0.13177,0.32792,0.90116,0.97571,0.99288,0.99216,0.98517,0.06998,0.29695,1.06829,0.006238,0.006238,0.006238
40,21490.4,0.13027,0.32208,0.89998,0.97414,0.99385,0.99255,0.98532,0.06038,0.24071,1.06006,0.006139,0.006139,0.006139
41,22020.9,0.12696,0.3171,0.89976,0.97095,0.99407,0.99129,0.98077,0.05246,0.30959,1.05553,0.00604,0.00604,0.00604
42,22553.9,0.12815,0.30869,0.90079,0.98327,0.99496,0.99432,0.99194,0.05684,0.53198,1.0587,0.005941,0.005941,0.005941
43,23087.7,0.12523,0.31257,0.89924,0.99278,0.99563,0.99494,0.99401,0.05619,0.54773,1.06002,0.005842,0.005842,0.005842
44,23622.8,0.123,0.30996,0.89896,0.997,0.99569,0.99498,0.99384,0.04507,0.461,1.05428,0.005743,0.005743,0.005743
45,24154.1,0.12224,0.30189,0.89935,0.99639,0.9948,0.995,0.99391,0.04912,0.51916,1.05717,0.005644,0.005644,0.005644
46,24685.6,0.12068,0.29745,0.89747,0.99536,0.99468,0.99499,0.99401,0.04995,0.49672,1.05645,0.005545,0.005545,0.005545
47,25219.9,0.12057,0.30432,0.89889,0.99475,0.99467,0.99486,0.99257,0.05588,0.58932,1.06021,0.005446,0.005446,0.005446
48,25750.2,0.11993,0.29315,0.89792,0.99559,0.99483,0.99475,0.99377,0.0559,0.47065,1.06137,0.005347,0.005347,0.005347
49,26281.8,0.11752,0.28939,0.89707,0.99554,0.995,0.99474,0.9926,0.06547,0.36293,1.07088,0.005248,0.005248,0.005248
50,26821.3,0.11705,0.2899,0.89707,0.99379,0.99516,0.9946,0.99252,0.07653,0.31998,1.08068,0.005149,0.005149,0.005149
51,27368.1,0.11476,0.28559,0.89684,0.99295,0.99516,0.99425,0.99235,0.08796,0.27078,1.09488,0.00505,0.00505,0.00505
52,27914,0.11362,0.28277,0.89589,0.98979,0.99486,0.99398,0.99236,0.09031,0.25908,1.09845,0.004951,0.004951,0.004951
53,28460.7,0.1119,0.28196,0.89644,0.99063,0.99506,0.99388,0.99177,0.08842,0.25624,1.09698,0.004852,0.004852,0.004852
54,29007.2,0.11088,0.27268,0.89651,0.99004,0.99484,0.9937,0.99137,0.08938,0.24803,1.09569,0.004753,0.004753,0.004753
55,29551.7,0.10947,0.26976,0.89624,0.98869,0.99491,0.99359,0.99038,0.08847,0.26372,1.09511,0.004654,0.004654,0.004654
56,30096.5,0.10876,0.26811,0.89552,0.98789,0.9942,0.99408,0.9909,0.08926,0.262,1.09567,0.004555,0.004555,0.004555
57,30640.8,0.10895,0.27037,0.89484,0.98527,0.99384,0.99385,0.99092,0.08818,0.27912,1.09059,0.004456,0.004456,0.004456
58,31187.6,0.10594,0.26375,0.89622,0.98457,0.99329,0.9933,0.98972,0.08576,0.27156,1.08593,0.004357,0.004357,0.004357
59,31732.9,0.10465,0.26066,0.89375,0.98541,0.99333,0.99343,0.98968,0.08287,0.26273,1.08278,0.004258,0.004258,0.004258
60,32276.9,0.10471,0.26011,0.89666,0.98578,0.99363,0.99357,0.9888,0.07832,0.24646,1.0786,0.004159,0.004159,0.004159
61,32822.4,0.10336,0.26255,0.8948,0.98739,0.99476,0.99325,0.9887,0.07543,0.23721,1.07555,0.00406,0.00406,0.00406
62,33369.3,0.10244,0.25666,0.89483,0.98532,0.9951,0.9926,0.98825,0.07265,0.24718,1.0724,0.003961,0.003961,0.003961
63,33925.3,0.10062,0.25271,0.89488,0.98283,0.9953,0.99265,0.989,0.0696,0.25261,1.07002,0.003862,0.003862,0.003862
64,34480.8,0.10077,0.25016,0.89318,0.98286,0.99511,0.9927,0.98945,0.06881,0.25786,1.06981,0.003763,0.003763,0.003763
65,35037.5,0.09966,0.24372,0.89516,0.98312,0.99522,0.99246,0.98969,0.06489,0.25646,1.06686,0.003664,0.003664,0.003664
66,35592.8,0.09824,0.24881,0.89474,0.98632,0.9957,0.99278,0.99147,0.05967,0.24806,1.0633,0.003565,0.003565,0.003565
67,36148.3,0.0962,0.24073,0.8934,0.98726,0.99567,0.99299,0.99211,0.05587,0.24929,1.06055,0.003466,0.003466,0.003466
68,36705.2,0.09571,0.23607,0.89173,0.98473,0.99421,0.99301,0.99217,0.05231,0.23393,1.05808,0.003367,0.003367,0.003367
69,37259.9,0.09392,0.2347,0.89254,0.98544,0.99388,0.99307,0.99214,0.05029,0.23015,1.0566,0.003268,0.003268,0.003268
70,37815.5,0.09295,0.22924,0.89349,0.98536,0.99431,0.99317,0.99226,0.04842,0.22615,1.05536,0.003169,0.003169,0.003169
71,38370.7,0.09279,0.23149,0.89199,0.98511,0.995,0.99324,0.99246,0.04616,0.22168,1.0539,0.00307,0.00307,0.00307
72,38925.7,0.09085,0.22829,0.89239,0.98625,0.99529,0.99363,0.99306,0.04419,0.21175,1.0527,0.002971,0.002971,0.002971
73,39481.6,0.09035,0.22238,0.89347,0.98684,0.99537,0.99372,0.99312,0.04371,0.21117,1.05239,0.002872,0.002872,0.002872
74,40037,0.08967,0.22509,0.89252,0.98721,0.99537,0.99389,0.9933,0.04311,0.2049,1.05208,0.002773,0.002773,0.002773
75,40591.8,0.08714,0.21966,0.89111,0.98707,0.99558,0.99385,0.99327,0.04279,0.20826,1.05181,0.002674,0.002674,0.002674
76,41147.5,0.08622,0.21865,0.89146,0.9871,0.9953,0.99375,0.99317,0.04268,0.21687,1.05169,0.002575,0.002575,0.002575
77,41703.7,0.08662,0.21653,0.89175,0.98702,0.99533,0.99365,0.99306,0.04283,0.22187,1.05174,0.002476,0.002476,0.002476
78,42259.6,0.08448,0.21169,0.89237,0.98728,0.99528,0.99369,0.99309,0.04318,0.22829,1.05187,0.002377,0.002377,0.002377
79,42816.7,0.08329,0.20996,0.89162,0.9872,0.99542,0.99362,0.99289,0.0434,0.23346,1.05194,0.002278,0.002278,0.002278
80,43372.3,0.08237,0.20842,0.89138,0.98794,0.99541,0.9937,0.99294,0.04259,0.22862,1.05148,0.002179,0.002179,0.002179
81,43928.1,0.08099,0.20261,0.89088,0.99022,0.99517,0.99393,0.99289,0.04137,0.22756,1.05081,0.00208,0.00208,0.00208
82,44483.3,0.0796,0.20306,0.89084,0.99004,0.99533,0.99385,0.99279,0.04179,0.24139,1.05095,0.001981,0.001981,0.001981
83,45038.1,0.07826,0.19816,0.88997,0.98977,0.99558,0.99382,0.99278,0.04197,0.24895,1.051,0.001882,0.001882,0.001882
84,45593.1,0.07689,0.19833,0.8908,0.99014,0.99558,0.99381,0.99272,0.04167,0.25695,1.0508,0.001783,0.001783,0.001783
85,46148.8,0.07608,0.19755,0.88984,0.99035,0.99584,0.99384,0.99275,0.042,0.26147,1.05098,0.001684,0.001684,0.001684
86,46705.7,0.07519,0.19036,0.89137,0.99148,0.99579,0.99387,0.99274,0.04231,0.26349,1.05117,0.001585,0.001585,0.001585
87,47261.8,0.0755,0.18868,0.88988,0.99124,0.99564,0.99388,0.99271,0.04287,0.26567,1.05149,0.001486,0.001486,0.001486
88,47816.2,0.07407,0.18345,0.8905,0.9911,0.99602,0.99385,0.99256,0.04323,0.26575,1.05167,0.001387,0.001387,0.001387
89,48371.1,0.07202,0.18311,0.88979,0.99101,0.99605,0.99386,0.99248,0.04367,0.26402,1.05186,0.001288,0.001288,0.001288
90,48927.6,0.07081,0.18135,0.88947,0.99124,0.99605,0.99389,0.99242,0.04421,0.26371,1.05211,0.001189,0.001189,0.001189
