epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.831,0.57295,2.33557,1.12901,0.8245,0.85029,0.91361,0.9118,0.12349,0.76181,1.04159,0.00333041,0.00333041,0.00333041
2,1013.22,0.3396,1.09333,0.95903,0.86307,0.8825,0.93218,0.9265,0.24808,0.80372,1.07569,0.00659778,0.00659778,0.00659778
3,1498.04,0.40497,1.11051,0.97334,0.77479,0.82629,0.90691,0.88152,0.43886,1.05915,1.21174,0.00979914,0.00979914,0.00979914
4,1981.27,0.40876,1.10701,0.9729,0.8968,0.89492,0.96363,0.95168,0.14098,0.53858,1.06746,0.009703,0.009703,0.009703
5,2466.1,0.35101,0.97492,0.95484,0.91742,0.92495,0.96873,0.90673,0.29488,0.77891,1.19102,0.009604,0.009604,0.009604
6,2989.27,0.3121,0.87663,0.94245,0.91455,0.91806,0.9629,0.93455,0.24048,0.71235,1.14494,0.009505,0.009505,0.009505
7,3501.89,0.28833,0.81321,0.93626,0.92471,0.90128,0.96339,0.92534,0.20419,0.35786,1.13522,0.009406,0.009406,0.009406
8,3998.64,0.26863,0.76898,0.93009,0.94068,0.93537,0.97815,0.94154,0.18891,0.32884,1.11882,0.009307,0.009307,0.009307
9,4492.32,0.25654,0.73516,0.92788,0.98135,0.97865,0.9923,0.98548,0.11341,0.32685,1.07436,0.009208,0.009208,0.009208
10,4984.03,0.24404,0.70544,0.92372,0.96021,0.96065,0.98742,0.98063,0.11261,0.23857,1.06846,0.009109,0.009109,0.009109
11,5476.22,0.23195,0.68646,0.92149,0.94095,0.92946,0.96497,0.94271,0.16749,0.36776,1.09476,0.00901,0.00901,0.00901
12,5968.94,0.22086,0.65106,0.91733,0.96228,0.97064,0.98785,0.98203,0.08838,0.27729,1.06257,0.008911,0.008911,0.008911
13,6461.27,0.21416,0.63133,0.91623,0.9731,0.98756,0.99206,0.98432,0.13601,0.28417,1.08263,0.008812,0.008812,0.008812
14,6952.72,0.20789,0.62011,0.91573,0.9757,0.98017,0.99179,0.9832,0.09897,0.16738,1.06947,0.008713,0.008713,0.008713
15,7448.74,0.20124,0.60073,0.91278,0.98034,0.98273,0.99308,0.9812,0.11933,0.25264,1.08408,0.008614,0.008614,0.008614
16,7940.52,0.19625,0.58654,0.91266,0.95499,0.97118,0.98339,0.97346,0.1443,0.29663,1.09839,0.008515,0.008515,0.008515
17,8433.18,0.19228,0.57385,0.91225,0.9688,0.98438,0.99292,0.98802,0.09195,0.13991,1.0692,0.008416,0.008416,0.008416
18,8924.99,0.18587,0.5596,0.90994,0.96136,0.97927,0.98803,0.97799,0.0857,0.14623,1.07046,0.008317,0.008317,0.008317
19,9418.08,0.18186,0.54977,0.90854,0.96497,0.98432,0.98961,0.97809,0.08695,0.15149,1.06442,0.008218,0.008218,0.008218
20,9911.55,0.17943,0.53289,0.90925,0.95888,0.98028,0.98781,0.979,0.07572,0.13051,1.06612,0.008119,0.008119,0.008119
21,10404.8,0.17652,0.53006,0.90706,0.93411,0.97446,0.98232,0.95807,0.129,0.19626,1.09995,0.00802,0.00802,0.00802
22,10898.8,0.17012,0.51605,0.9079,0.95956,0.93758,0.97154,0.95345,0.11689,0.22012,1.08586,0.007921,0.007921,0.007921
23,11391,0.17081,0.50289,0.90811,0.97493,0.99294,0.99221,0.98531,0.07,0.13349,1.06349,0.007822,0.007822,0.007822
24,11883.7,0.16644,0.49899,0.90621,0.98667,0.99439,0.99378,0.99184,0.05653,0.17116,1.05189,0.007723,0.007723,0.007723
25,12375.8,0.16378,0.49563,0.90676,0.98859,0.99364,0.99336,0.99252,0.05391,0.26567,1.05514,0.007624,0.007624,0.007624
26,12866.8,0.16099,0.48593,0.90442,0.98806,0.99413,0.99444,0.98975,0.06853,0.34454,1.05994,0.007525,0.007525,0.007525
27,13358.5,0.15693,0.47493,0.9051,0.9855,0.9907,0.99342,0.98783,0.07718,0.29635,1.0603,0.007426,0.007426,0.007426
28,13849.3,0.15516,0.46922,0.90458,0.95162,0.97297,0.98256,0.97044,0.09105,0.29924,1.08156,0.007327,0.007327,0.007327
29,14345.9,0.15192,0.46938,0.90267,0.97618,0.99096,0.99077,0.98134,0.07519,0.15351,1.06322,0.007228,0.007228,0.007228
30,14838.5,0.15449,0.46245,0.90344,0.96625,0.97748,0.98492,0.97099,0.07626,0.23973,1.06706,0.007129,0.007129,0.007129
31,15332.1,0.15082,0.45542,0.90454,0.96302,0.96806,0.98032,0.96591,0.09036,0.18118,1.07397,0.00703,0.00703,0.00703
32,15826.3,0.14883,0.44454,0.90224,0.97216,0.99084,0.99073,0.97961,0.06525,0.11928,1.05992,0.006931,0.006931,0.006931
33,16316.8,0.14742,0.44361,0.90279,0.95575,0.9745,0.97746,0.96229,0.0955,0.18101,1.07223,0.006832,0.006832,0.006832
34,16809,0.14519,0.43636,0.90189,0.97338,0.98549,0.98844,0.97942,0.05932,0.15446,1.05326,0.006733,0.006733,0.006733
35,17300.9,0.14211,0.42999,0.90137,0.96908,0.98403,0.98985,0.98112,0.05971,0.10548,1.05299,0.006634,0.006634,0.006634
36,17791.4,0.13961,0.42351,0.90136,0.96987,0.97988,0.9846,0.96949,0.0767,0.15939,1.06619,0.006535,0.006535,0.006535
37,18280.8,0.13799,0.42142,0.90086,0.96904,0.99469,0.99253,0.98314,0.06116,0.13439,1.05968,0.006436,0.006436,0.006436
38,18771.9,0.13651,0.41295,0.90171,0.97651,0.99358,0.9933,0.98673,0.05812,0.24893,1.05447,0.006337,0.006337,0.006337
39,19263.1,0.13608,0.40647,0.90258,0.97713,0.98789,0.98975,0.98168,0.06045,0.18885,1.05575,0.006238,0.006238,0.006238
40,19756.3,0.13427,0.40756,0.89923,0.98254,0.99471,0.99371,0.98868,0.0549,0.17317,1.05154,0.006139,0.006139,0.006139
41,20249.5,0.13201,0.39722,0.90088,0.98645,0.99632,0.99332,0.98881,0.055,0.21474,1.05309,0.00604,0.00604,0.00604
