epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,679.013,0.58842,2.35463,1.18133,0.75535,0.76319,0.83657,0.80162,0.2374,1.03056,1.15968,0.0033304,0.0033304,0.0033304
2,1325.65,0.33612,1.11582,0.98796,0.86274,0.87967,0.94274,0.9329,0.19311,0.64764,1.09852,0.00659777,0.00659777,0.00659777
3,1961.48,0.3931,1.1061,1.00058,0.83601,0.84899,0.90409,0.82203,0.41664,0.98933,1.22874,0.00979913,0.00979913,0.00979913
4,2592.68,0.39682,1.0797,1.00492,0.8866,0.89079,0.96055,0.94002,0.17471,0.47647,1.10376,0.009703,0.009703,0.009703
5,3223.26,0.33668,0.96068,0.97658,0.77118,0.77302,0.84324,0.77459,0.29237,0.94819,1.17493,0.009604,0.009604,0.009604
6,3862.85,0.30233,0.87819,0.96525,0.9269,0.92787,0.97576,0.96034,0.12998,0.45843,1.08316,0.009505,0.009505,0.009505
7,4510.09,0.28057,0.81591,0.9567,0.92633,0.9017,0.95389,0.9292,0.1548,0.45427,1.08967,0.009406,0.009406,0.009406
8,5158.46,0.25723,0.77523,0.9474,0.91299,0.92151,0.96339,0.95047,0.11611,0.35628,1.06657,0.009307,0.009307,0.009307
9,5804.75,0.2419,0.73156,0.94083,0.94682,0.94723,0.97536,0.95994,0.1275,0.3441,1.0685,0.009208,0.009208,0.009208
10,6450.07,0.23189,0.71416,0.93958,0.95985,0.97457,0.9909,0.98731,0.08981,0.25008,1.06437,0.009109,0.009109,0.009109
11,7096.14,0.22374,0.68378,0.93665,0.97177,0.96043,0.99068,0.9809,0.10207,0.21693,1.06491,0.00901,0.00901,0.00901
12,7741.67,0.21616,0.66775,0.93655,0.97355,0.95522,0.9885,0.98432,0.07583,0.32977,1.05927,0.008911,0.008911,0.008911
13,8389.39,0.20802,0.6457,0.9304,0.94438,0.94418,0.9791,0.97124,0.06636,0.21809,1.05942,0.008812,0.008812,0.008812
14,9036.02,0.20329,0.63097,0.93082,0.97523,0.96532,0.9911,0.98374,0.07935,0.33444,1.06387,0.008713,0.008713,0.008713
15,9682.67,0.1974,0.60856,0.9298,0.98187,0.9774,0.99298,0.98987,0.08802,0.20492,1.06366,0.008614,0.008614,0.008614
16,10327.7,0.19006,0.5931,0.92571,0.97164,0.97553,0.98908,0.98264,0.08504,0.18328,1.0628,0.008515,0.008515,0.008515
17,10973,0.18702,0.5866,0.92774,0.97598,0.98413,0.99218,0.99128,0.09294,0.23807,1.05862,0.008416,0.008416,0.008416
18,11618,0.18423,0.57734,0.92576,0.95191,0.93571,0.96522,0.95397,0.09088,0.27811,1.06502,0.008317,0.008317,0.008317
19,12263.4,0.17745,0.56475,0.92244,0.94214,0.94983,0.96942,0.96207,0.07573,0.3125,1.06329,0.008218,0.008218,0.008218
20,12907.2,0.17321,0.55594,0.92163,0.98116,0.98086,0.99184,0.98662,0.07253,0.17568,1.05622,0.008119,0.008119,0.008119
21,13552.8,0.17168,0.54872,0.92428,0.98465,0.98147,0.99318,0.98775,0.06885,0.261,1.06002,0.00802,0.00802,0.00802
22,14196.7,0.16801,0.53476,0.92058,0.98713,0.97605,0.99292,0.99084,0.07173,0.16939,1.0581,0.007921,0.007921,0.007921
23,14841.8,0.16639,0.52532,0.92054,0.97745,0.9723,0.98736,0.9777,0.08689,0.322,1.06601,0.007822,0.007822,0.007822
24,15487.6,0.16227,0.51803,0.91952,0.98665,0.98595,0.9937,0.99262,0.05407,0.19577,1.05255,0.007723,0.007723,0.007723
25,16134.7,0.1576,0.51401,0.91856,0.98484,0.98359,0.99376,0.98889,0.0897,1.00578,1.07457,0.007624,0.007624,0.007624
26,16778.1,0.15655,0.49423,0.91875,0.98963,0.99001,0.99441,0.99037,0.08858,0.29991,1.08239,0.007525,0.007525,0.007525
27,17423.3,0.15416,0.49329,0.91879,0.97346,0.98053,0.99075,0.98332,0.08634,0.27178,1.08202,0.007426,0.007426,0.007426
