epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.121,0.78785,2.60938,1.29238,0.81343,0.82884,0.87521,0.81389,0.39158,1.15006,1.31585,0.00332769,0.00332769,0.00332769
2,600.184,0.4517,1.07279,1.02652,0.87977,0.85354,0.94645,0.86442,1.40218,1.57674,2.16972,0.00659508,0.00659508,0.00659508
3,883.497,0.50661,1.07302,1.01729,0.82259,0.85315,0.88523,0.78462,0.54751,0.86949,1.35093,0.00979647,0.00979647,0.00979647
4,1166.59,0.51577,1.06941,1.01875,0.85755,0.89319,0.94013,0.91343,0.24779,0.56416,1.13536,0.009703,0.009703,0.009703
5,1451.97,0.45968,0.95792,0.99379,0.86707,0.93549,0.93734,0.86886,0.38852,0.8125,1.24287,0.009604,0.009604,0.009604
6,1739.3,0.42063,0.86697,0.98114,0.93017,0.96598,0.97855,0.93552,0.27841,0.82176,1.16894,0.009505,0.009505,0.009505
7,2026.24,0.38622,0.83744,0.97104,0.93968,0.95159,0.97912,0.94224,0.25655,0.42396,1.1385,0.009406,0.009406,0.009406
8,2313.79,0.36934,0.78585,0.96505,0.90236,0.89007,0.93415,0.88014,0.32662,0.65696,1.17138,0.009307,0.009307,0.009307
9,2600.25,0.3438,0.75791,0.95775,0.96515,0.98536,0.98875,0.94308,0.24246,0.75147,1.17017,0.009208,0.009208,0.009208
10,2886.25,0.33411,0.72207,0.95394,0.96927,0.94255,0.96935,0.9522,0.19232,0.87174,1.11127,0.009109,0.009109,0.009109
11,3173.04,0.31773,0.69737,0.95054,0.89649,0.95106,0.97442,0.91187,0.30982,0.65072,1.1924,0.00901,0.00901,0.00901
12,3460.5,0.30116,0.68036,0.9426,0.94729,0.96254,0.98896,0.94968,0.22107,0.69489,1.15336,0.008911,0.008911,0.008911
13,3747.29,0.29566,0.6641,0.94352,0.96132,0.9699,0.9865,0.9563,0.19096,0.48649,1.14169,0.008812,0.008812,0.008812
14,4034.65,0.27961,0.63239,0.93836,0.96277,0.96105,0.99005,0.92384,0.30357,1.22248,1.22911,0.008713,0.008713,0.008713
15,4320.91,0.27556,0.62374,0.93426,0.92229,0.96694,0.97301,0.93191,0.24516,0.7557,1.18256,0.008614,0.008614,0.008614
16,4607.32,0.26653,0.61118,0.93529,0.96091,0.97401,0.99093,0.9695,0.16548,0.96736,1.118,0.008515,0.008515,0.008515
17,4894.04,0.26171,0.60469,0.93537,0.96666,0.9349,0.98796,0.96853,0.13682,0.50262,1.1086,0.008416,0.008416,0.008416
18,5180.99,0.25446,0.59552,0.92904,0.9438,0.94095,0.97255,0.93692,0.21086,0.65447,1.15967,0.008317,0.008317,0.008317
