epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.169,0.52472,2.10819,1.11087,0.91088,0.91413,0.96018,0.93365,0.21899,0.51703,1.09899,0.0033304,0.0033304,0.0033304
2,1015.2,0.3237,0.86269,0.95468,0.8901,0.8856,0.95614,0.94075,0.24576,0.57523,1.07374,0.00659776,0.00659776,0.00659776
3,1504.3,0.37293,0.87015,0.9632,0.91379,0.87848,0.93918,0.90946,0.25484,0.55154,1.10527,0.00979913,0.00979913,0.00979913
4,1995.1,0.36807,0.86021,0.96264,0.92862,0.93173,0.96183,0.94041,0.23054,0.45686,1.10898,0.009703,0.009703,0.009703
5,2486.06,0.31923,0.75527,0.94774,0.88484,0.90555,0.94622,0.91262,0.30723,0.52047,1.19729,0.009604,0.009604,0.009604
6,2974.75,0.29061,0.6832,0.93941,0.94518,0.95079,0.97614,0.9534,0.20655,0.52756,1.13104,0.009505,0.009505,0.009505
7,3442.28,0.26799,0.64526,0.93194,0.96818,0.98414,0.98716,0.97112,0.11636,0.24769,1.08094,0.009406,0.009406,0.009406
8,3910.19,0.2466,0.60683,0.92486,0.98248,0.97703,0.99124,0.96533,0.13497,0.29995,1.09521,0.009307,0.009307,0.009307
9,4381.64,0.23496,0.57933,0.92283,0.9771,0.99104,0.99384,0.9836,0.10675,0.24615,1.08398,0.009208,0.009208,0.009208
10,4853.88,0.22398,0.553,0.91883,0.9628,0.97902,0.98196,0.96034,0.13973,0.24707,1.07842,0.009109,0.009109,0.009109
11,5326.75,0.2139,0.52963,0.9171,0.94816,0.98024,0.96738,0.95439,0.11843,0.27456,1.07754,0.00901,0.00901,0.00901
12,5799.74,0.20705,0.52023,0.91697,0.97033,0.97323,0.99276,0.97887,0.13447,0.42732,1.09258,0.008911,0.008911,0.008911
13,6271.63,0.20037,0.50144,0.91324,0.98559,0.99052,0.98939,0.97508,0.09866,0.236,1.07524,0.008812,0.008812,0.008812
14,6741.28,0.19344,0.48637,0.91251,0.86947,0.91386,0.92931,0.90178,0.13991,0.55695,1.096,0.008713,0.008713,0.008713
15,7211.45,0.1883,0.47508,0.91126,0.98114,0.99525,0.99414,0.99172,0.11387,0.41093,1.08093,0.008614,0.008614,0.008614
16,7683.44,0.18315,0.45739,0.90959,0.9866,0.98735,0.99377,0.9885,0.07695,0.11319,1.05871,0.008515,0.008515,0.008515
17,8153.18,0.17718,0.45174,0.90939,0.98639,0.98728,0.99403,0.98686,0.08595,0.2151,1.06761,0.008416,0.008416,0.008416
18,8622.49,0.17428,0.44286,0.90956,0.96874,0.97561,0.98739,0.97733,0.11228,0.3941,1.06897,0.008317,0.008317,0.008317
19,9093.04,0.17337,0.43854,0.90715,0.93411,0.97185,0.97563,0.96746,0.09214,0.2357,1.06006,0.008218,0.008218,0.008218
20,9561.72,0.1675,0.42688,0.90617,0.98472,0.99395,0.99456,0.99094,0.09183,0.30947,1.06452,0.008119,0.008119,0.008119
21,10032.1,0.16412,0.41597,0.90555,0.92438,0.97419,0.97821,0.95943,0.12153,0.60925,1.09345,0.00802,0.00802,0.00802
22,10503.2,0.16349,0.40846,0.90686,0.98024,0.99364,0.99202,0.98456,0.09223,0.19726,1.06729,0.007921,0.007921,0.007921
23,10976.1,0.1598,0.40608,0.90496,0.99291,0.98916,0.9944,0.99243,0.06523,0.14394,1.05486,0.007822,0.007822,0.007822
24,11450,0.15574,0.39312,0.90367,0.99332,0.99185,0.99339,0.97975,0.06473,0.22916,1.07248,0.007723,0.007723,0.007723
25,11921.9,0.1547,0.39478,0.90514,0.97918,0.98659,0.99378,0.98819,0.06334,0.15639,1.0592,0.007624,0.007624,0.007624
26,12390.5,0.1513,0.38782,0.9039,0.97674,0.98455,0.98878,0.98234,0.07271,0.59548,1.0632,0.007525,0.007525,0.007525
27,12858.6,0.14997,0.37846,0.90326,0.98345,0.9911,0.9907,0.9841,0.05558,0.21502,1.05329,0.007426,0.007426,0.007426
28,13327.7,0.14764,0.3739,0.90275,0.97816,0.99007,0.99173,0.98529,0.06222,0.13953,1.05932,0.007327,0.007327,0.007327
29,13796.1,0.14468,0.36887,0.90076,0.98909,0.99209,0.99384,0.99036,0.05779,0.42625,1.05464,0.007228,0.007228,0.007228
30,14263.8,0.14349,0.36391,0.9015,0.9839,0.99096,0.98755,0.98297,0.06065,0.2741,1.05545,0.007129,0.007129,0.007129
31,14733.7,0.14027,0.3593,0.9014,0.98438,0.9961,0.99309,0.99097,0.05665,0.12961,1.05197,0.00703,0.00703,0.00703
32,15203.8,0.13856,0.35648,0.90106,0.97824,0.9875,0.98591,0.97926,0.06216,0.29068,1.0559,0.006931,0.006931,0.006931
33,15672.9,0.13666,0.34998,0.90008,0.98176,0.99591,0.99343,0.98997,0.05102,0.18533,1.05416,0.006832,0.006832,0.006832
34,16145.2,0.13636,0.35206,0.90057,0.99099,0.99659,0.99485,0.99286,0.04688,0.141,1.05011,0.006733,0.006733,0.006733
35,16616.2,0.13504,0.34443,0.90118,0.99233,0.99465,0.9944,0.9916,0.05339,0.42816,1.05408,0.006634,0.006634,0.006634
36,17085.7,0.1344,0.33958,0.89982,0.99286,0.99656,0.99474,0.99211,0.05233,0.45907,1.05692,0.006535,0.006535,0.006535
37,17556.2,0.13407,0.33873,0.90094,0.98662,0.99614,0.99291,0.98856,0.04473,0.38431,1.05127,0.006436,0.006436,0.006436
38,18025.2,0.13176,0.33328,0.89936,0.98582,0.99628,0.99068,0.98288,0.04797,0.58244,1.05301,0.006337,0.006337,0.006337
