epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.097,0.58594,2.26761,1.13321,0.84015,0.85824,0.9165,0.90618,0.18588,0.68104,1.11525,0.0033304,0.0033304,0.0033304
2,1006,0.35018,1.0608,0.96386,0.86802,0.87344,0.93054,0.91211,0.19826,0.58396,1.11488,0.00659777,0.00659777,0.00659777
3,1494.68,0.41085,1.07037,0.97345,0.79836,0.78284,0.84979,0.80012,0.29254,0.86869,1.15387,0.00979913,0.00979913,0.00979913
4,1985.44,0.41328,1.07393,0.97589,0.91385,0.89593,0.94456,0.89647,0.31653,1.00367,1.20088,0.009703,0.009703,0.009703
5,2474.59,0.35444,0.94539,0.95511,0.77755,0.71886,0.77682,0.72255,0.42711,0.9055,1.2575,0.009604,0.009604,0.009604
6,2967.19,0.32122,0.87098,0.94691,0.9167,0.84318,0.9343,0.91228,0.1663,0.47114,1.09958,0.009505,0.009505,0.009505
7,3460.73,0.29999,0.80889,0.93785,0.89622,0.93938,0.96738,0.94453,0.14273,0.3518,1.08799,0.009406,0.009406,0.009406
8,3951.95,0.27509,0.77607,0.93281,0.93873,0.92172,0.96871,0.946,0.16423,0.34267,1.10406,0.009307,0.009307,0.009307
9,4445.39,0.26098,0.73649,0.92827,0.91095,0.93815,0.95996,0.93309,0.20992,0.31548,1.11751,0.009208,0.009208,0.009208
10,4938.03,0.24741,0.70075,0.92378,0.91297,0.89755,0.94353,0.92646,0.17062,0.38528,1.11822,0.009109,0.009109,0.009109
11,5429.99,0.23852,0.67216,0.92289,0.96669,0.95828,0.98408,0.9715,0.11385,0.21536,1.07175,0.00901,0.00901,0.00901
12,5924.37,0.22774,0.66049,0.91981,0.97634,0.92601,0.97966,0.96344,0.11558,0.28598,1.08943,0.008911,0.008911,0.008911
13,6417.18,0.22108,0.6398,0.91772,0.92051,0.94002,0.97366,0.95223,0.1399,0.43931,1.09534,0.008812,0.008812,0.008812
14,6909.26,0.21226,0.62237,0.91595,0.96565,0.97137,0.97591,0.95288,0.16343,0.35774,1.11396,0.008713,0.008713,0.008713
15,7401.62,0.20539,0.60454,0.91479,0.97883,0.98573,0.98941,0.98469,0.08444,0.35854,1.07466,0.008614,0.008614,0.008614
16,7893.6,0.20304,0.5944,0.91561,0.93806,0.96379,0.98712,0.98134,0.07176,0.29916,1.05869,0.008515,0.008515,0.008515
17,8385.84,0.19484,0.58281,0.91156,0.96531,0.96994,0.98905,0.98162,0.08393,0.26219,1.06583,0.008416,0.008416,0.008416
18,8876.97,0.19097,0.56916,0.91108,0.86915,0.842,0.89524,0.88275,0.23483,0.48876,1.16352,0.008317,0.008317,0.008317
19,9369.06,0.18693,0.55304,0.90969,0.93397,0.97231,0.97071,0.95917,0.09649,0.16163,1.07245,0.008218,0.008218,0.008218
20,9861.39,0.18456,0.54959,0.90983,0.9738,0.97665,0.98533,0.97926,0.08738,0.22728,1.06677,0.008119,0.008119,0.008119
21,10355.2,0.18088,0.5403,0.90948,0.98456,0.98907,0.993,0.98943,0.06767,0.1316,1.05924,0.00802,0.00802,0.00802
22,10846.9,0.17841,0.53309,0.90957,0.95779,0.96903,0.98222,0.96569,0.09216,0.20525,1.07079,0.007921,0.007921,0.007921
23,11338.6,0.1739,0.51392,0.90943,0.99185,0.98947,0.99256,0.99088,0.05736,0.18966,1.0552,0.007822,0.007822,0.007822
24,11831.7,0.17228,0.51718,0.9071,0.96331,0.98041,0.98014,0.97182,0.06579,0.12534,1.05658,0.007723,0.007723,0.007723
25,12325,0.16716,0.50417,0.90555,0.96795,0.98657,0.98724,0.97597,0.07505,0.16507,1.06448,0.007624,0.007624,0.007624
26,12817.5,0.16395,0.49524,0.90642,0.94103,0.96557,0.97158,0.95478,0.098,0.34008,1.06918,0.007525,0.007525,0.007525
27,13299.1,0.16121,0.48728,0.90443,0.97242,0.98358,0.98495,0.97653,0.0766,0.17075,1.06763,0.007426,0.007426,0.007426
28,13767.5,0.16164,0.48899,0.90662,0.98966,0.99071,0.99354,0.99081,0.05892,0.14136,1.05452,0.007327,0.007327,0.007327
29,14238.7,0.15865,0.48187,0.90534,0.97566,0.98736,0.98609,0.97493,0.07972,0.25065,1.0655,0.007228,0.007228,0.007228
30,14707.5,0.15557,0.46931,0.90444,0.97415,0.98985,0.9884,0.983,0.07272,0.34791,1.0582,0.007129,0.007129,0.007129
31,15177.6,0.15468,0.46607,0.9038,0.98508,0.99082,0.99103,0.9875,0.07041,0.26588,1.05702,0.00703,0.00703,0.00703
32,15646.4,0.15169,0.46005,0.90331,0.97672,0.99223,0.98603,0.97962,0.06978,0.20115,1.06055,0.006931,0.006931,0.006931
33,16116,0.15063,0.45726,0.90455,0.98575,0.99138,0.9938,0.98662,0.07444,0.45175,1.06533,0.006832,0.006832,0.006832
34,16583.6,0.14554,0.44469,0.90178,0.98403,0.99038,0.99384,0.98784,0.06164,0.15545,1.0579,0.006733,0.006733,0.006733
35,17061.6,0.14576,0.44087,0.90156,0.9874,0.99034,0.99381,0.98914,0.06092,0.19153,1.05635,0.006634,0.006634,0.006634
36,17540.1,0.14588,0.44351,0.90051,0.97635,0.99121,0.99141,0.98292,0.07013,0.13605,1.06313,0.006535,0.006535,0.006535
37,18015.4,0.13957,0.43316,0.90044,0.98103,0.98982,0.99294,0.98655,0.06548,0.12105,1.05865,0.006436,0.006436,0.006436
38,18494.3,0.13973,0.42907,0.89936,0.9844,0.99441,0.99234,0.98655,0.05585,0.1024,1.05278,0.006337,0.006337,0.006337
39,18967.9,0.13944,0.42435,0.90175,0.98698,0.99539,0.99337,0.99017,0.05214,0.09406,1.05126,0.006238,0.006238,0.006238
40,19440.5,0.13739,0.42325,0.89966,0.97938,0.99399,0.99115,0.98639,0.05028,0.09613,1.0507,0.006139,0.006139,0.006139
41,19912.7,0.13662,0.41315,0.90008,0.9876,0.99458,0.99348,0.99092,0.04694,0.08205,1.04995,0.00604,0.00604,0.00604
42,20385.8,0.13556,0.41158,0.8992,0.98897,0.99405,0.99343,0.98635,0.05258,0.08519,1.05507,0.005941,0.005941,0.005941
43,20874.4,0.13333,0.40671,0.89881,0.98822,0.99579,0.99382,0.98796,0.05221,0.12119,1.0555,0.005842,0.005842,0.005842
44,21362.3,0.13217,0.40549,0.8998,0.99062,0.99569,0.99397,0.98969,0.04962,0.11614,1.05525,0.005743,0.005743,0.005743
45,21849.5,0.13175,0.3961,0.89985,0.99113,0.99639,0.99407,0.98989,0.04967,0.08689,1.0551,0.005644,0.005644,0.005644
46,22336.5,0.1304,0.39291,0.89912,0.99154,0.99607,0.99417,0.98887,0.05,0.09214,1.05597,0.005545,0.005545,0.005545
47,22825.7,0.12617,0.39662,0.89874,0.99358,0.99595,0.99412,0.98981,0.04838,0.09644,1.05487,0.005446,0.005446,0.005446
48,23314.2,0.12506,0.38894,0.89818,0.99375,0.99556,0.99422,0.98912,0.04821,0.09193,1.05471,0.005347,0.005347,0.005347
49,23802.4,0.12571,0.38932,0.89782,0.99293,0.99561,0.99422,0.98936,0.04796,0.09173,1.05415,0.005248,0.005248,0.005248
50,24300.8,0.12374,0.37927,0.89698,0.99128,0.99554,0.99429,0.98943,0.04695,0.09537,1.05323,0.005149,0.005149,0.005149
51,24788.7,0.12241,0.37757,0.8968,0.9911,0.9942,0.994,0.99015,0.04615,0.09634,1.05196,0.00505,0.00505,0.00505
52,25275.4,0.11941,0.37317,0.89617,0.99002,0.9947,0.99348,0.98926,0.04688,0.11623,1.05223,0.004951,0.004951,0.004951
53,25764.3,0.1191,0.36428,0.89676,0.9888,0.9949,0.99363,0.98946,0.04605,0.10502,1.0514,0.004852,0.004852,0.004852
54,26253.2,0.11757,0.36656,0.89719,0.98763,0.99445,0.99303,0.98875,0.04595,0.08989,1.05111,0.004753,0.004753,0.004753
55,26729.3,0.11794,0.35943,0.89706,0.98622,0.99513,0.99242,0.9883,0.04641,0.08497,1.05084,0.004654,0.004654,0.004654
56,27197.9,0.11566,0.35754,0.89503,0.98775,0.99488,0.9925,0.98844,0.0462,0.0783,1.0505,0.004555,0.004555,0.004555
57,27667.3,0.11435,0.35279,0.89574,0.98837,0.99503,0.99284,0.98963,0.04546,0.07542,1.05002,0.004456,0.004456,0.004456
58,28143.4,0.11358,0.35243,0.89465,0.98973,0.99496,0.99387,0.99058,0.04393,0.07113,1.04915,0.004357,0.004357,0.004357
59,28615.6,0.11144,0.34895,0.89525,0.98918,0.99457,0.99397,0.99076,0.04362,0.06862,1.0492,0.004258,0.004258,0.004258
60,29085.7,0.11091,0.33953,0.89481,0.98942,0.99436,0.99406,0.99079,0.04372,0.06746,1.04952,0.004159,0.004159,0.004159
61,29555.1,0.10926,0.33988,0.89483,0.98986,0.99489,0.99411,0.99105,0.0436,0.06654,1.04945,0.00406,0.00406,0.00406
62,30024.1,0.10894,0.33851,0.89581,0.98984,0.99512,0.99411,0.99135,0.04336,0.0665,1.04928,0.003961,0.003961,0.003961
63,30494,0.10783,0.33127,0.8948,0.99022,0.99533,0.99413,0.99124,0.04341,0.06404,1.04932,0.003862,0.003862,0.003862
64,30965.6,0.10758,0.33141,0.89449,0.99112,0.99598,0.99439,0.99161,0.04337,0.06251,1.04922,0.003763,0.003763,0.003763
65,31437.8,0.10547,0.32499,0.89349,0.99128,0.99575,0.99439,0.99186,0.04308,0.06217,1.04897,0.003664,0.003664,0.003664
66,31910.8,0.10417,0.3219,0.89333,0.99106,0.99539,0.99439,0.99229,0.04273,0.0615,1.04883,0.003565,0.003565,0.003565
67,32381.2,0.10363,0.324,0.89443,0.99076,0.99574,0.99441,0.99241,0.04283,0.06007,1.04883,0.003466,0.003466,0.003466
68,32851.3,0.10162,0.31661,0.89235,0.99071,0.99602,0.99442,0.99236,0.04254,0.05879,1.04867,0.003367,0.003367,0.003367
