epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,672.549,0.4356,2.17621,1.11591,0.73815,0.81788,0.85833,0.84053,0.34786,1.0618,1.28126,0.0033304,0.0033304,0.0033304
2,1318.42,0.26118,0.88325,0.96393,0.83135,0.81458,0.88325,0.85314,0.29937,1.10146,1.23008,0.00659777,0.00659777,0.00659777
3,1966.97,0.30114,0.87378,0.97312,0.83533,0.85148,0.91518,0.85384,0.42371,1.04932,1.41142,0.00979913,0.00979913,0.00979913
4,2609.86,0.29084,0.83987,0.96738,0.78701,0.78868,0.84195,0.7464,0.45599,1.15751,1.41728,0.009703,0.009703,0.009703
5,3251.67,0.24886,0.72747,0.94692,0.91266,0.84331,0.93822,0.92526,0.17504,0.85009,1.1352,0.009604,0.009604,0.009604
6,3894.82,0.22393,0.65277,0.93864,0.88498,0.92419,0.96957,0.90292,0.36173,0.6585,1.35556,0.009505,0.009505,0.009505
7,4540.41,0.20403,0.58994,0.92969,0.89694,0.87594,0.94907,0.86314,0.32554,0.78644,1.24463,0.009406,0.009406,0.009406
8,5183.04,0.18815,0.55251,0.92485,0.84652,0.91313,0.9521,0.71605,0.41912,1.06683,1.27411,0.009307,0.009307,0.009307
9,5825.97,0.18138,0.52376,0.92392,0.68847,0.88442,0.83361,0.49087,1.1127,1.61875,2.22798,0.009208,0.009208,0.009208
10,6469.22,0.17084,0.50164,0.91904,0.91417,0.93199,0.97617,0.94058,0.15372,0.37373,1.12479,0.009109,0.009109,0.009109
11,7110.98,0.1625,0.48145,0.91777,0.95602,0.95868,0.98714,0.74526,0.92252,0.91962,2.25072,0.00901,0.00901,0.00901
12,7756.4,0.1581,0.46962,0.91614,0.80403,0.90998,0.91052,0.50408,1.38183,1.88938,2.50042,0.008911,0.008911,0.008911
13,8400.43,0.15164,0.44945,0.91337,0.89409,0.93928,0.94975,0.67528,0.88304,1.18908,2.249,0.008812,0.008812,0.008812
14,9043.82,0.14682,0.42942,0.91324,0.77993,0.86468,0.90147,0.6279,0.76693,1.41901,1.82519,0.008713,0.008713,0.008713
15,9685.47,0.14271,0.42,0.91132,0.8134,0.89643,0.89651,0.54489,0.81775,1.85535,1.97245,0.008614,0.008614,0.008614
16,10325.9,0.13998,0.41141,0.91194,0.87477,0.94449,0.94812,0.59581,1.16053,1.3584,2.29617,0.008515,0.008515,0.008515
17,10968.7,0.13879,0.39924,0.9111,0.81588,0.8556,0.92184,0.58342,0.72388,1.33337,1.89843,0.008416,0.008416,0.008416
18,11609.9,0.13327,0.39326,0.90839,0.81235,0.87912,0.90863,0.60681,0.78295,1.32858,1.69773,0.008317,0.008317,0.008317
19,12253.9,0.13205,0.38644,0.90813,0.60891,0.73338,0.72487,0.3916,0.84081,1.61138,1.83201,0.008218,0.008218,0.008218
20,12897.1,0.13024,0.38348,0.90858,0.68985,0.89936,0.84309,0.57408,0.94733,1.52326,2.46007,0.008119,0.008119,0.008119
21,13539.7,0.12676,0.36929,0.90608,0.68739,0.80148,0.82863,0.48659,0.95833,2.01306,1.78143,0.00802,0.00802,0.00802
22,14184.8,0.12574,0.36521,0.90663,0.81974,0.92521,0.92351,0.53656,0.79176,2.21755,1.98656,0.007921,0.007921,0.007921
23,14827.8,0.12161,0.3552,0.90746,0.6622,0.95598,0.83456,0.61737,0.66493,1.64389,2.25062,0.007822,0.007822,0.007822
24,15471.2,0.12074,0.35374,0.90502,0.54854,0.94617,0.7505,0.4793,0.9296,2.82874,2.2773,0.007723,0.007723,0.007723
25,16114.8,0.11798,0.35407,0.90501,0.91145,0.9319,0.95578,0.60838,0.88023,1.80198,2.0116,0.007624,0.007624,0.007624
26,16761.9,0.11662,0.34317,0.90268,0.61427,0.90105,0.83272,0.47747,1.04605,2.00077,2.38801,0.007525,0.007525,0.007525
27,17404.4,0.1161,0.34018,0.903,0.92275,0.93321,0.97557,0.66723,1.07145,1.03208,2.55007,0.007426,0.007426,0.007426
28,18048.6,0.11472,0.33927,0.90447,0.90355,0.94261,0.97003,0.61615,0.71735,1.16624,1.5854,0.007327,0.007327,0.007327
29,18688.7,0.11341,0.33345,0.90363,0.95095,0.97643,0.98799,0.58847,1.10973,1.63362,2.43365,0.007228,0.007228,0.007228
30,19331.8,0.10961,0.32591,0.90211,0.81901,0.90871,0.92235,0.50636,1.1326,1.87379,2.1025,0.007129,0.007129,0.007129
31,19974.1,0.10911,0.32068,0.90319,0.87249,0.9192,0.96054,0.56158,1.09043,2.01208,2.31112,0.00703,0.00703,0.00703
32,20615.8,0.10867,0.32215,0.90132,0.85734,0.93442,0.94744,0.53319,1.45513,1.60339,2.41848,0.006931,0.006931,0.006931
33,21257.9,0.10715,0.32017,0.90135,0.91948,0.97053,0.98223,0.63792,0.99906,1.18731,2.25011,0.006832,0.006832,0.006832
34,21901.2,0.10511,0.30729,0.90185,0.96823,0.9663,0.99169,0.77915,0.9085,0.89951,2.13875,0.006733,0.006733,0.006733
