epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,676.023,0.63055,2.20397,1.20244,0.83019,0.809,0.89415,0.87526,0.24799,1.19208,1.16385,0.0033304,0.0033304,0.0033304
2,1321.76,0.36212,0.93046,0.99328,0.91503,0.92904,0.98536,0.97967,0.1898,0.65281,1.10267,0.00659777,0.00659777,0.00659777
3,1966.85,0.40271,0.91728,1.00466,0.91185,0.92955,0.97001,0.93602,0.3422,1.00836,1.20455,0.00979913,0.00979913,0.00979913
4,2613.7,0.39059,0.88309,1.00133,0.79462,0.86287,0.92997,0.84384,0.59872,1.07319,1.34377,0.009703,0.009703,0.009703
5,3266.35,0.34834,0.7918,0.98539,0.93886,0.98149,0.98889,0.97645,0.21819,0.52162,1.11407,0.009604,0.009604,0.009604
6,3915.58,0.30491,0.7148,0.96831,0.96873,0.97046,0.9867,0.97377,0.14877,0.3714,1.08738,0.009505,0.009505,0.009505
7,4568.9,0.28403,0.66957,0.96055,0.96762,0.95691,0.99282,0.98696,0.15498,0.5632,1.09983,0.009406,0.009406,0.009406
8,5220.91,0.26578,0.63254,0.95546,0.9668,0.9605,0.98964,0.97508,0.1339,0.65169,1.09623,0.009307,0.009307,0.009307
9,5864.9,0.25126,0.60014,0.95166,0.9803,0.98618,0.99043,0.97947,0.11152,0.30769,1.07234,0.009208,0.009208,0.009208
10,6509.6,0.23979,0.58122,0.9459,0.97032,0.98477,0.99231,0.96575,0.19105,0.56413,1.18019,0.009109,0.009109,0.009109
11,7153.28,0.23394,0.55669,0.94729,0.98194,0.98883,0.99321,0.95685,0.19798,0.45003,1.17135,0.00901,0.00901,0.00901
12,7802.81,0.22027,0.54242,0.94154,0.99042,0.99354,0.99402,0.9889,0.12497,0.97948,1.10371,0.008911,0.008911,0.008911
13,8447.24,0.21499,0.52375,0.93919,0.99052,0.98695,0.99409,0.98931,0.10319,0.35437,1.09788,0.008812,0.008812,0.008812
14,9092.21,0.20648,0.50698,0.93619,0.98795,0.98418,0.99096,0.9808,0.1306,0.66886,1.10013,0.008713,0.008713,0.008713
15,9742.89,0.2058,0.49366,0.93574,0.98987,0.99122,0.99363,0.98863,0.13011,0.27632,1.10529,0.008614,0.008614,0.008614
16,10392.4,0.19696,0.48338,0.93284,0.98956,0.99208,0.99478,0.99252,0.09622,0.20294,1.09015,0.008515,0.008515,0.008515
17,11035,0.19633,0.47773,0.93182,0.99123,0.99414,0.99481,0.99133,0.0852,0.2311,1.07399,0.008416,0.008416,0.008416
18,11676,0.18907,0.46585,0.92707,0.99339,0.9972,0.99484,0.99274,0.0931,0.27998,1.07943,0.008317,0.008317,0.008317
19,12320.3,0.18837,0.45634,0.92857,0.98932,0.99128,0.99438,0.99081,0.09782,0.23235,1.081,0.008218,0.008218,0.008218
20,12963.9,0.18616,0.45235,0.92825,0.99714,0.99409,0.99481,0.99199,0.07128,0.41087,1.06752,0.008119,0.008119,0.008119
21,13603.4,0.1828,0.44125,0.92503,0.99534,0.99651,0.99432,0.99125,0.13253,0.31969,1.10103,0.00802,0.00802,0.00802
22,14240.7,0.17809,0.43819,0.92342,0.99324,0.99517,0.99488,0.98941,0.13908,0.49568,1.11236,0.007921,0.007921,0.007921
23,14880.7,0.17734,0.43006,0.92586,0.99519,0.99703,0.99474,0.99262,0.07368,0.32941,1.07091,0.007822,0.007822,0.007822
24,15521.8,0.17253,0.42235,0.92181,0.99771,0.99448,0.99496,0.99365,0.09096,0.38476,1.09667,0.007723,0.007723,0.007723
25,16163,0.17134,0.4196,0.92144,0.99644,0.9966,0.99495,0.99324,0.10226,0.32993,1.08336,0.007624,0.007624,0.007624
26,16803.8,0.17016,0.40499,0.91931,0.99417,0.99447,0.99451,0.99247,0.07009,0.34513,1.06464,0.007525,0.007525,0.007525
27,17444.3,0.16763,0.40444,0.91982,0.99647,0.99484,0.9949,0.98981,0.11972,0.34688,1.09891,0.007426,0.007426,0.007426
28,18084.6,0.16437,0.4,0.9195,0.99318,0.99181,0.99469,0.98709,0.0974,0.33995,1.08214,0.007327,0.007327,0.007327
29,18724.2,0.16433,0.40284,0.91945,0.99515,0.99263,0.99427,0.99048,0.08697,0.34528,1.08599,0.007228,0.007228,0.007228
30,19368.2,0.16318,0.39379,0.91844,0.9883,0.99335,0.99405,0.98858,0.1099,0.29989,1.09258,0.007129,0.007129,0.007129
31,20014.1,0.16017,0.39126,0.91921,0.98988,0.99289,0.99433,0.99017,0.11099,0.28523,1.09508,0.00703,0.00703,0.00703
32,20657.5,0.15836,0.38983,0.91669,0.99682,0.99541,0.99489,0.99204,0.12195,0.25532,1.09979,0.006931,0.006931,0.006931
33,21297.4,0.15509,0.38552,0.91547,0.99702,0.99522,0.99489,0.99216,0.14951,0.31091,1.12655,0.006832,0.006832,0.006832
34,21938.8,0.15541,0.37493,0.91732,0.99694,0.99527,0.99491,0.99233,0.11778,0.24694,1.09727,0.006733,0.006733,0.006733
35,22579.3,0.1534,0.36675,0.91374,0.99679,0.99557,0.9949,0.99303,0.09143,0.26586,1.07742,0.006634,0.006634,0.006634
36,23221.4,0.15227,0.36433,0.91413,0.99672,0.99426,0.99491,0.9937,0.08393,0.51266,1.0717,0.006535,0.006535,0.006535
37,23864.7,0.15043,0.36748,0.91469,0.99662,0.99569,0.99493,0.99339,0.08426,0.39484,1.0768,0.006436,0.006436,0.006436
38,24506,0.14937,0.3564,0.91388,0.99681,0.99475,0.99492,0.99362,0.07609,0.35298,1.07317,0.006337,0.006337,0.006337
39,25148.6,0.1485,0.35259,0.91324,0.9969,0.99564,0.99494,0.99397,0.08313,0.45591,1.08232,0.006238,0.006238,0.006238
40,25788.9,0.14482,0.35261,0.91215,0.99757,0.99564,0.99495,0.99362,0.07674,0.28383,1.0706,0.006139,0.006139,0.006139
41,26428.4,0.14582,0.35522,0.9137,0.99734,0.99618,0.99494,0.99383,0.08392,0.25404,1.07659,0.00604,0.00604,0.00604
42,27067.9,0.14453,0.34269,0.91167,0.99728,0.99695,0.99493,0.99404,0.09287,0.25654,1.08409,0.005941,0.005941,0.005941
43,27708.2,0.1416,0.34136,0.91001,0.99708,0.99678,0.99493,0.99424,0.08229,0.27034,1.07468,0.005842,0.005842,0.005842
44,28347.9,0.13817,0.33586,0.90889,0.99686,0.99687,0.99491,0.99394,0.08679,0.40324,1.07698,0.005743,0.005743,0.005743
45,28989.9,0.14077,0.3363,0.90983,0.99585,0.99637,0.99487,0.9933,0.10219,0.511,1.09037,0.005644,0.005644,0.005644
46,29632.7,0.13996,0.33493,0.90979,0.99512,0.99693,0.99481,0.99302,0.10745,0.56802,1.10082,0.005545,0.005545,0.005545
47,30273.7,0.13717,0.32826,0.90959,0.9961,0.99677,0.99489,0.99418,0.08696,0.38832,1.07568,0.005446,0.005446,0.005446
48,30914.9,0.13526,0.32725,0.90923,0.99613,0.99639,0.9949,0.99377,0.09048,0.34876,1.07789,0.005347,0.005347,0.005347
49,31557.5,0.13512,0.32459,0.90855,0.99663,0.9967,0.99492,0.99382,0.09583,0.31604,1.08149,0.005248,0.005248,0.005248
50,32198.9,0.13563,0.3185,0.90798,0.99715,0.99657,0.9949,0.99382,0.09775,0.29337,1.084,0.005149,0.005149,0.005149
51,32839.3,0.13509,0.32215,0.90856,0.99722,0.99645,0.9949,0.99372,0.08193,0.27196,1.07256,0.00505,0.00505,0.00505
