epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.612,0.76199,2.67594,1.27912,0.6369,0.78563,0.78567,0.75875,0.2229,1.16129,1.13814,0.00332769,0.00332769,0.00332769
2,688.904,0.40096,1.1259,1.01649,0.82519,0.85327,0.92895,0.92106,0.19694,0.78354,1.08153,0.00659508,0.00659508,0.00659508
3,1018.26,0.44993,1.0713,1.01311,0.85357,0.77496,0.84876,0.75046,0.52588,2.10478,1.3057,0.00979647,0.00979647,0.00979647
4,1342.7,0.464,1.04525,1.02407,0.88216,0.88622,0.93986,0.90209,0.50477,1.16834,1.26335,0.009703,0.009703,0.009703
5,1670.85,0.4108,0.92725,1,0.87446,0.88064,0.9283,0.87765,0.2781,0.64384,1.1607,0.009604,0.009604,0.009604
6,2002.13,0.37749,0.86008,0.98705,0.97182,0.96607,0.9895,0.97741,0.20449,0.42761,1.08861,0.009505,0.009505,0.009505
7,2332.92,0.35074,0.82267,0.97785,0.95062,0.96626,0.98455,0.96168,0.23716,0.46151,1.12061,0.009406,0.009406,0.009406
8,2660.63,0.3306,0.78179,0.96824,0.95359,0.9694,0.9905,0.98557,0.20244,0.44791,1.09462,0.009307,0.009307,0.009307
9,2987.56,0.31294,0.73744,0.96432,0.88522,0.90464,0.96101,0.9455,0.17162,0.44041,1.09007,0.009208,0.009208,0.009208
10,3315.61,0.3004,0.69987,0.96049,0.96546,0.97509,0.98901,0.97684,0.18231,0.66126,1.08979,0.009109,0.009109,0.009109
11,3643.66,0.29223,0.68102,0.95695,0.96456,0.98731,0.98949,0.97795,0.20115,1.02111,1.09845,0.00901,0.00901,0.00901
12,3971.26,0.27968,0.66551,0.95307,0.98081,0.9814,0.99362,0.98973,0.11526,0.24294,1.0709,0.008911,0.008911,0.008911
13,4299.82,0.2742,0.64956,0.95005,0.96562,0.98444,0.98836,0.97223,0.17747,0.50976,1.09832,0.008812,0.008812,0.008812
14,4627.73,0.25563,0.61719,0.94328,0.98321,0.99334,0.9933,0.98983,0.12897,0.2636,1.06266,0.008713,0.008713,0.008713
15,4955.19,0.25688,0.61474,0.9447,0.989,0.9894,0.99349,0.99035,0.12025,0.80058,1.06059,0.008614,0.008614,0.008614
16,5282.46,0.24679,0.60123,0.94246,0.97294,0.98476,0.9926,0.98687,0.13443,0.37876,1.07249,0.008515,0.008515,0.008515
17,5610.64,0.24197,0.58772,0.93886,0.98555,0.9908,0.99233,0.98713,0.10179,0.22658,1.06455,0.008416,0.008416,0.008416
